"champ";"statut";"annee";"periode";"date du resultat";"ipe";ghm;nb_po1;nb_po2;nb_po3;nb_po4;nb_po5;nb_po6;nb_po7;nb_po8;nb_po9;nb_poa;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/24 14:38:23";="020000253";01M182;1;0;0;0;0;0;0;0;0;1;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/25 12:05:46";="620101337";01M301;1;0;0;0;0;0;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:46";="620101337";01M313;0;0;1;0;0;0;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:46";="620101337";01M37E;1;0;0;0;0;0;0;1;1;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:46";="620101337";21M102;0;1;0;0;0;0;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/30 11:29:22";="590782421";04M134;0;0;0;1;1;1;0;0;0;0;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/31 10:37:28";="590781415";01M192;1;0;0;0;1;0;0;0;0;0;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:37:28";="590781415";01M302;1;0;0;0;0;1;0;0;0;0;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:37:28";="590781415";01M303;1;0;0;0;1;0;0;0;0;0;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:37:28";="590781415";01M36E;2;0;0;0;0;1;0;0;0;2;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:38:31";="620103440";01M191;1;0;0;0;0;1;0;0;0;1;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 10:38:31";="620103440";01M193;1;0;0;0;1;0;0;0;0;0;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 11:46:57";="590780193";01C034;0;0;1;0;1;1;0;1;0;0;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:46:57";="590780193";01C081;3;0;1;0;2;2;0;1;0;2;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:46:57";="590780193";01M181;0;0;1;0;1;1;0;0;1;0;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:46:57";="590780193";01M301;1;0;1;0;0;1;0;1;0;2;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:46:57";="590780193";01M302;0;0;0;1;1;0;0;0;0;0;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:46:57";="590780193";01M312;1;0;0;0;0;1;0;0;0;1;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:46:57";="590780193";01M36E;1;0;2;0;1;3;0;2;0;1;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:46:57";="590780193";01M37E;1;0;0;0;0;1;0;0;0;1;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:46:57";="590780193";05C084;0;0;0;1;1;1;0;0;0;0;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:46:57";="590780193";05M144;0;0;0;1;1;1;1;0;0;0;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:46:57";="590780193";05M172;1;0;0;0;1;1;0;0;0;0;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:46:57";="590780193";07M14Z;0;0;1;0;1;1;1;1;0;0;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:46:57";="590780193";21M103;0;0;0;1;0;0;1;0;0;0;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:46:57";="590780193";21M143;1;0;0;4;5;5;0;0;1;0;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:46:57";="590780193";21M144;1;0;2;5;7;6;1;2;0;0;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:46:57";="590780193";23C02J;0;0;1;0;1;1;0;1;1;0;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:46:57";="590780193";26M024;0;0;1;0;1;1;0;1;1;0;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 14:25:40";="590781605";01M192;1;0;0;0;0;1;0;0;0;1;2023.7;X590781605;31AUG23;14:25:07
"mco";"dgf";"2023";"7";"2023/08/31 14:25:40";="590781605";01M301;0;0;1;0;1;1;0;0;1;0;2023.7;X590781605;31AUG23;14:25:07
"mco";"dgf";"2023";"7";"2023/08/31 15:42:42";="590782215";01C034;0;0;0;1;1;1;0;0;0;1;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 15:42:42";="590782215";01C044;0;1;0;0;1;1;1;0;0;1;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 15:42:42";="590782215";01M134;0;0;0;1;0;1;0;0;0;1;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 15:42:42";="590782215";01M184;1;0;0;0;1;1;0;0;0;1;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 15:42:42";="590782215";01M304;0;0;0;1;0;1;0;0;0;1;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 15:42:42";="590782215";01M36E;1;0;0;0;1;0;0;0;0;1;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 15:42:42";="590782215";05K054;0;0;0;1;0;1;0;0;0;1;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 15:42:42";="590782215";05M144;0;0;0;1;0;0;0;0;0;0;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 16:58:24";="620100685";01M36E;0;0;1;0;1;1;0;1;1;0;2023.7;X620100685;31AUG23;16:57:50
"mco";"dgf";"2023";"7";"2023/08/31 16:58:24";="620100685";11M19T;5;0;1;0;1;3;1;0;0;5;2023.7;X620100685;31AUG23;16:57:50
"mco";"dgf";"2023";"7";"2023/08/31 16:58:24";="620100685";23K03J;0;0;1;0;0;1;1;0;0;1;2023.7;X620100685;31AUG23;16:57:50
"mco";"dgf";"2023";"7";"2023/09/01 09:18:40";="600100721";01M301;0;1;0;0;0;0;0;0;0;1;2023.7;X600100721;01SEP23;9:18:13
"mco";"dgf";"2023";"7";"2023/09/01 14:02:39";="590783239";01M193;1;0;0;0;1;0;0;0;0;0;2023.7;X590783239;01SEP23;14:02:13
"mco";"dgf";"2023";"7";"2023/09/01 14:02:39";="590783239";01M302;0;1;0;0;1;1;0;0;0;0;2023.7;X590783239;01SEP23;14:02:13
"mco";"dgf";"2023";"7";"2023/09/01 16:55:32";="020000063";01M301;1;0;0;0;1;1;0;0;0;0;2023.7;X020000063;01SEP23;16:55:02
"mco";"dgf";"2023";"7";"2023/09/01 16:55:32";="020000063";01M314;1;0;0;0;0;1;0;0;0;0;2023.7;X020000063;01SEP23;16:55:02
"mco";"dgf";"2023";"7";"2023/09/01 16:55:32";="020000063";05K061;0;1;0;0;1;1;1;0;0;0;2023.7;X020000063;01SEP23;16:55:02
"mco";"dgf";"2023";"7";"2023/09/01 16:55:32";="020000063";05M044;1;0;0;0;0;1;0;0;0;0;2023.7;X020000063;01SEP23;16:55:02
"mco";"dgf";"2023";"7";"2023/09/05 12:09:35";="590781803";01M302;1;0;0;0;1;0;0;0;0;0;2023.7;X590781803;05SEP23;12:09:07
"mco";"dgf";"2023";"7";"2023/09/05 17:44:45";="800000044";01C042;0;0;1;0;1;0;0;0;0;0;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/05 17:44:45";="800000044";01M181;0;0;1;0;1;1;0;0;0;0;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/05 17:44:45";="800000044";01M183;1;0;0;0;1;1;0;0;0;0;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/05 17:44:45";="800000044";01M184;0;0;1;0;1;0;0;0;0;0;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/05 17:44:45";="800000044";01M194;0;0;1;0;1;0;0;0;0;0;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/05 17:44:45";="800000044";01M301;1;0;0;0;1;1;0;0;0;0;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/05 17:44:45";="800000044";01M303;0;0;1;0;1;0;0;0;0;0;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/05 17:44:45";="800000044";01M36E;0;0;1;0;1;0;0;0;0;0;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/05 17:44:45";="800000044";01M37E;0;0;1;0;1;0;1;0;0;0;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/05 17:44:45";="800000044";05K052;1;0;0;0;1;1;0;0;0;0;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/05 17:44:45";="800000044";05K104;1;0;0;0;1;0;0;0;0;0;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/05 17:44:45";="800000044";21M104;1;0;0;0;1;1;0;0;0;0;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/05 17:44:45";="800000044";21M142;1;0;0;0;1;1;0;0;0;0;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/05 17:44:45";="800000044";23K03J;0;0;1;0;1;1;0;1;1;0;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/05 17:44:45";="800000044";26M021;0;0;2;0;2;2;0;1;1;0;2023.7;X800000044;05SEP23;17:44:11
