"champ";"statut";"annee";"periode";"date du resultat";"ipe";diag_ct;ponder;ponder_cn;dms;pct_rea;age_moy;age_med;pct_homme;pct_dp;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:19";="800000036";Z29;7;7;8.4285714286;0;85.571428571;86;42.857142857;100;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:19";="800000036";Z96;4;4;7;0;89.5;90.5;50;100;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:19";="800000036";I10;4;4;7.5;0;86.25;85;50;100;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:19";="800000036";Z92;2;2;8.5;0;90.5;90.5;0;100;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:19";="800000036";E43;2;2;6;0;85;85;100;100;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:19";="800000036";I48;2;2;8.5;0;90.5;90.5;0;100;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:19";="800000036";K59;2;2;6.5;0;87.5;87.5;50;100;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:19";="800000036";R29;2;2;10;0;84;84;50;100;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:19";="800000036";E03;2;2;8.5;0;90.5;90.5;0;100;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:19";="800000036";E11;2;2;7;0;84;84;50;100;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:19";="800000036";W01;1;1;8;0;95;95;0;100;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:19";="800000036";I25;1;1;8;0;95;95;0;100;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:19";="800000036";R41;1;1;5;0;82;82;100;100;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:19";="800000036";R26;1;1;8;0;93;93;0;100;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:19";="800000036";E89;1;1;7;0;88;88;100;100;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:19";="800000036";H40;1;1;10;0;82;82;0;100;2023.7;X800000036;08AUG23;14:40:54
