"champ";"statut";"annee";"periode";"date du resultat";"ipe";lib;aff;diag_ct;ponder;ponder_cn;dms;pct_rea;pct_si;pct_sc;age_moy;age_med;pct_homme;pct_dp;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/24 14:38:43";="020000253";J96    INSUF. RESP., NCA;0;J96;2;2;24.5;100;0;0;80;80;50;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:43";="020000253";K65    PERITONITE;0;K65;2;2;26;100;0;0;73;73;100;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:43";="020000253";F10    TBL. MENT. DUS A ALCOOL;0;F10;1;1;42;100;0;100;59;59;100;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:43";="020000253";F50    TBL. DE L'ALIMENTATION, NON ORG.;0;F50;1;1;20;100;0;0;32;32;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:43";="020000253";I50    INSUF. CARD.;0;I50;1;1;39;100;0;0;84;84;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:43";="020000253";K35    APPENDICITE AIG.;0;K35;1;1;25;100;0;0;72;72;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:43";="020000253";S06    LES. TRAUMA. INTRACRAN.;0;S06;1;1;27;100;0;0;72;72;100;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/25 12:06:00";="620101337";F10    TBL. MENT. DUS A ALCOOL;0;F10;2;2;15;100;50;50;48.5;48.5;50;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:00";="620101337";I46    ARRET CARD.;0;I46;1;1;76;100;0;100;63;63;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:00";="620101337";I65    STENOSE DES ART. PRECEREB., N'ENTRAINANT PAS UN INFARCTUS CEREB.;0;I65;1;1;49;100;100;100;79;79;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:00";="620101337";J15    PNEUMOPATHIES BACT., NCA;0;J15;1;1;23;100;100;0;67;67;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:00";="620101337";J80    SYND. DE DETRESSE RESP. AIGÜE;0;J80;1;1;38;100;0;100;68;68;100;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:00";="620101337";O24    DIABETE SUCRE AU COURS DE LA GROSS.;0;O24;1;1;3;100;0;0;31;31;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:00";="620101337";P22    DETRESSE RESP. DU N.N.;0;P22;1;1;37;100;0;0;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:00";="620101337";S27    LES. TRAUMA. D'ORG. INTRATHOR., NCA OU SAI;0;S27;1;1;9;100;0;100;58;58;100;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:00";="620101337";U07    CODES POUR USAGE URGENT;0;U07;1;1;76;100;100;100;55;55;100;100;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/29 13:05:31";="620000026";R06    ANOM. DE LA RESPIRATION;0;R06;1;1;3;100;0;0;71;71;0;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 14:50:59";="020000261";J18    PNEUMOPATHIE A MICRO-ORG. SAI;0;J18;2;2;12.5;100;50;0;70.5;70.5;100;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:59";="020000261";U07    CODES POUR USAGE URGENT;0;U07;2;2;30;100;0;100;65.5;65.5;50;100;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:59";="020000261";J12    PNEUMOPATHIES VIRALES, NCA;0;J12;1;1;26;100;0;0;62;62;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:59";="020000261";J15    PNEUMOPATHIES BACT., NCA;0;J15;1;1;56;100;0;0;54;54;100;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:59";="020000261";K55    TBL. VASC. DE L'INTESTIN;0;K55;1;1;44;100;0;0;55;55;100;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:59";="020000261";M70    AFF. DES TISSUS MOUS PAR SOLLICITATION EXCESSIVE DE L'ARTIC.;0;M70;1;1;28;100;0;0;75;75;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:59";="020000261";T42    INTOX. PAR ANTI-EPILEP., SEDATIFS, HYPNOTIQUES ET ANTI-PARKINSONIENS;0;T42;1;1;44;100;0;0;88;88;100;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 16:13:55";="620100651";N17    INSUF. RENALE AIG.;0;N17;3;3;22.666666667;100;0;0;76.666666667;80;100;0;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:55";="620100651";E11    DIABETE TYPE 2;0;E11;1;1;16;100;0;0;80;80;0;0;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:55";="620100651";G04    ENCEPHALITE, MYELITE;0;G04;1;1;10;100;0;0;42;42;100;0;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:55";="620100651";G41    ETAT DE MAL EPILEP.;0;G41;1;1;11;100;0;0;46;46;100;0;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:55";="620100651";J13    PNEUMONIE DUE A STREPTOCOCCUS PNEUMONIAE;0;J13;1;1;62;100;0;0;53;53;100;0;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:55";="620100651";K28    ULCERE GASTRO-JEJUNAL;0;K28;1;1;42;100;0;0;63;63;100;0;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:55";="620100651";K57    DIVERTICULOSE DE L'INTESTIN;0;K57;1;1;10;100;0;0;62;62;0;0;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:55";="620100651";K65    PERITONITE;0;K65;1;1;18;100;0;0;80;80;0;0;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:55";="620100651";M86    OSTEOMYELITE;0;M86;1;1;5;100;0;0;56;56;0;0;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:55";="620100651";R57    CHOC, NCA;0;R57;1;1;31;100;0;100;73;73;100;0;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:55";="620100651";S06    LES. TRAUMA. INTRACRAN.;0;S06;1;1;36;100;0;0;86;86;100;0;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:55";="620100651";U07    CODES POUR USAGE URGENT;0;U07;1;1;28;100;0;100;72;72;100;100;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:55";="620100651";Z48    SOINS DE CTRL. CHIR., NCA;0;Z48;1;1;24;100;0;0;52;52;0;0;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/30 08:35:51";="590780284";J80    SYND. DE DETRESSE RESP. AIGÜE;0;J80;3;3;46;100;0;66.666666667;70.666666667;74;100;0;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:51";="590780284";J96    INSUF. RESP., NCA;0;J96;2;2;12.5;100;50;0;65;65;100;0;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:51";="590780284";R57    CHOC, NCA;0;R57;2;2;14;100;0;0;78.5;78.5;100;0;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:51";="590780284";;0;;1;1;45;100;100;100;78;78;100;0;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:51";="590780284";E13    DIABETES SUCRES PREC., NCA;0;E13;1;1;27;100;0;100;62;62;100;0;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:51";="590780284";I44    BLOC DE BRANCHE GAUCHE ET AURICULOVENTRICULAIRE;0;I44;1;1;65;100;100;100;79;79;100;0;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:51";="590780284";L02    ABCES CUTANE, FURONCLE ET ANTHRAX;0;L02;1;1;101;100;0;100;43;43;100;0;2023.7;X590780284;30AUG23;8:35:11
