"champ";"statut";"annee";"periode";"date du resultat";"ipe";mois_e;semaine_e;ponder;ponder_cn;dms;moy_age;med_age;pct_homme;pct_rea;pct_si;pct_sc;annee_e;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:17";="800000036";12;;1;1;12;73;73;100;0;0;0;2022;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:17";="800000036";1;;2;2;21.5;96;96;0;0;0;0;2023;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:17";="800000036";2;;1;1;9;86;86;0;0;0;0;2023;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:17";="800000036";3;;4;4;7.5;86.25;85;50;0;0;0;2023;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:17";="800000036";99;;8;8;11.75;87;87;37.5;0;0;0;9999;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:31:13";="600100168";12;;1;1;20;82;82;100;0;0;0;2022;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:13";="600100168";1;;3;3;3.6666666667;70.333333333;68;100;0;0;0;2023;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:13";="600100168";2;;10;10;9.9;74.6;80;40;0;0;0;2023;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:13";="600100168";3;;10;10;16.7;77.8;78.5;40;0;0;10;2023;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:13";="600100168";4;;2;2;12;83;83;50;0;0;0;2023;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:13";="600100168";99;;26;26;12.346153846;76.269230769;78;50;0;0;3.8461538462;9999;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/18 15:15:03";="020000022";11;;2;2;38;96.5;96.5;50;0;0;0;2022;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:03";="020000022";12;;11;11;19.818181818;82.727272727;87;36.363636364;0;0;0;2022;2023.7;X020000022;18AUG23;15:14:25
