"champ";"statut";"annee";"periode";"date du resultat";"ipe";mois;semaine;ponder;ponder_cn;dms;moy_age;med_age;pct_homme;pct_rea;pct_si;pct_sc;annee;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:17";="800000036";1;;2;2;10;84;84;50;0;0;0;2023;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:17";="800000036";2;;1;1;35;97;97;0;0;0;0;2023;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:17";="800000036";3;;3;3;8;83.333333333;82;33.333333333;0;0;0;2023;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:17";="800000036";4;;2;2;7.5;90.5;90.5;50;0;0;0;2023;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:17";="800000036";99;;8;8;11.75;87;87;37.5;0;0;0;9999;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:31:14";="600100168";1;;4;4;7.75;73.25;72.5;100;0;0;0;2023;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:14";="600100168";2;;7;7;10.285714286;72.857142857;79;57.142857143;0;0;0;2023;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:14";="600100168";3;;5;5;7.4;73.8;81;0;0;0;0;2023;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:14";="600100168";4;;9;9;18.555555556;79.777777778;76;55.555555556;0;0;11.111111111;2023;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:14";="600100168";5;;1;1;14;93;93;0;0;0;0;2023;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:14";="600100168";99;;26;26;12.346153846;76.269230769;78;50;0;0;3.8461538462;9999;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/18 15:15:04";="020000022";1;;13;13;22.615384615;84.846153846;88;38.461538462;0;0;0;2023;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:04";="020000022";2;;3;3;12.333333333;81;83;33.333333333;0;0;0;2023;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:04";="020000022";3;;4;4;15.25;87.25;85.5;25;0;0;0;2023;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:04";="020000022";4;;6;6;13.5;75.166666667;73;33.333333333;0;0;0;2023;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:04";="020000022";5;;9;9;11.777777778;77;77;66.666666667;0;0;0;2023;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:04";="020000022";6;;4;4;24.75;85;86;25;0;0;0;2023;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:04";="020000022";99;;39;39;17.384615385;81.512820513;83;41.025641026;0;0;0;9999;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/22 19:10:02";="590782439";1;;6;6;8.6666666667;73.833333333;72.5;33.333333333;0;0;0;2023;2023.7;X590782439;22AUG23;19:09:40
