"champ";"statut";"annee";"periode";"date du resultat";"ipe";diag;ponder;ponder_cn;dms;dur_med;age_moy;age_med;pct_homme;pct_rea;pct_sc;pct_si;sej_rea;moy_rea;med_rea;moy_age;med_age;pct_homme_rea;lib;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:18";="800000036";U0710;7;7;8.4285714286;8;85.571428571;86;42.857142857;0;0;0;0;;;;;;U0710  COVID-19 RESPIRATOIRE VIRUS IDENTIFIÉ;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:18";="800000036";Total;7;7;8.4285714286;8;85.571428571;86;42.857142857;0;0;0;0;;;;;;Tous diagnostics;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:31:14";="600100168";U0710;9;9;11.444444444;10;77.555555556;76;55.555555556;0;11.111111111;0;0;;;;;;U0710  COVID-19 RESPIRATOIRE VIRUS IDENTIFIÉ;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:14";="600100168";U0712;1;1;0;0;66;66;100;0;0;0;0;;;;;;U0712  PORTEUR DE SARS-COV-2, ASYMPTOMATIQUE;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:14";="600100168";U0715;1;1;9;9;90;90;0;0;0;0;0;;;;;;U0715  COVID-19 AUTRES FORMES, VIRUS NON IDENTIFIÉ;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:14";="600100168";Total;11;11;10.181818182;9;77.636363636;76;54.545454545;0;9.0909090909;0;0;;;;;;Tous diagnostics;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/18 15:15:05";="020000022";U0710;23;23;13.782608696;12;81.782608696;83;47.826086957;0;0;0;0;;;;;;U0710  COVID-19 RESPIRATOIRE VIRUS IDENTIFIÉ;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:05";="020000022";Total;23;23;13.782608696;12;81.782608696;83;47.826086957;0;0;0;0;;;;;;Tous diagnostics;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/22 19:10:03";="590782439";U0710;14;14;7.0714285714;8;76.071428571;85;50;0;0;0;0;;;;;;U0710  COVID-19 RESPIRATOIRE VIRUS IDENTIFIÉ;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:03";="590782439";U0714;1;1;7;7;90;90;0;0;0;0;0;;;;;;U0714  COVID-19 AUTRES FORMES, VIRUS IDENTIFIÉ;2023.7;X590782439;22AUG23;19:09:40
