"champ";"statut";"annee";"periode";"date du resultat";"ipe";mode;ponder;pct_ponder;ponder_cn;dms;age_moy;age_med;pct_homme;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:19";="800000036";62;2;25;2;6.5;88.5;88.5;50;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:19";="800000036";8;5;62.5;5;13.8;89.2;88;20;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:19";="800000036";9;1;12.5;1;12;73;73;100;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:31:15";="600100168";71;2;7.6923076923;2;8.5;73.5;73.5;100;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:15";="600100168";72;8;30.769230769;8;22.5;83.375;85;37.5;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:15";="600100168";8;16;61.538461538;16;7.75;73.0625;75;50;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/18 15:15:05";="020000022";62;13;33.333333333;13;19.769230769;81.615384615;83;38.461538462;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:05";="020000022";71;2;5.1282051282;2;23;70;70;50;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:05";="020000022";8;17;43.58974359;17;14.647058824;81.941176471;83;52.941176471;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:05";="020000022";87;4;10.256410256;4;21.25;87.5;91;25;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:05";="020000022";9;3;7.6923076923;3;13.666666667;78.333333333;71;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/22 19:10:03";="590782439";71;2;9.0909090909;2;5.5;59.5;59.5;100;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:03";="590782439";8;18;81.818181818;18;6.6666666667;76;84;38.888888889;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:03";="590782439";87;2;9.0909090909;2;8.5;59;59;100;2023.7;X590782439;22AUG23;19:09:40
