"champ";"statut";"annee";"periode";"date du resultat";"ipe";parc_UM;ponder;ponder_cn;dms;age_moy;age_med;pct_homme;nb_um_rea;nb_um_si;nb_um_sc;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:19";="800000036";29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée;8;8;11.75;87;87;37.5;0;0;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:31:15";="600100168";29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée;21;21;14;76.142857143;81;38.095238095;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:15";="600100168";53 Autre chirurgie adulte (ou chirurgie indifférenciée adulte);4;4;4;77;74;100;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:15";="600100168";29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée-03A Soins surveillance continue adulte hors grands brûlés;1;1;11;76;76;100;0;0;3;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/18 15:15:06";="020000022";29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée;39;39;17.384615385;81.512820513;83;41.025641026;0;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/22 19:10:03";="590782439";29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée;22;22;6.7272727273;72.954545455;83.5;50;0;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/23 11:55:01";="590049565";08 Soins et accompagnement des malades en phase terminale (unité de soins palliatifs);7;7;34.142857143;72.142857143;68;71.428571429;0;0;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/24 14:38:42";="020000253";29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée;38;38;11.052631579;78.447368421;81;42.105263158;0;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:42";="020000253";27 Médecine gériatrique;17;17;16.176470588;86.470588235;89;41.176470588;0;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:42";="020000253";07A UHCD strutures des urgences générales;15;15;0.1333333333;62.6;65;66.666666667;0;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:42";="020000253";07A UHCD strutures des urgences générales-27 Médecine gériatrique;6;6;10;85.333333333;84;50;0;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:42";="020000253";07A UHCD strutures des urgences générales-29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée;6;6;13.666666667;69;68.5;100;0;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:42";="020000253";01A Réanimation adulte hors grands brûlés;5;5;14;69.6;71;80;70;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:42";="020000253";01A Réanimation adulte hors grands brûlés-27 Médecine gériatrique;3;3;28.333333333;78.333333333;75;66.666666667;36;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:42";="020000253";53 Autre chirurgie adulte (ou chirurgie indifférenciée adulte);3;3;19.333333333;86.333333333;84;33.333333333;0;0;0;2023.7;X020000253;24AUG23;14:38:01
