"champ";"statut";"annee";"periode";"date du resultat";"ipe";let_ghm;adnp_11;adnp_10;adnp_21;adnp_20;adnp_v1;adnp_v0;adnp_x1;adnp_x0;Total_Dans;Total_Hors;Total;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:14";="800000036";K;0;0;18;0;0;0;0;0;18;0;18;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:14";="800000036";M;63;0;1;0;0;88;0;0;64;88;152;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:14";="800000036";Z;8;0;0;0;0;11;0;0;8;11;19;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:31:11";="600100168";C;11;0;112;0;0;1;0;0;123;1;124;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:11";="600100168";K;0;0;58;0;0;0;0;0;58;0;58;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:11";="600100168";M;151;0;84;2;0;31;0;0;235;33;268;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:11";="600100168";Z;8;0;4;0;0;4;0;0;12;4;16;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/18 15:14:59";="020000022";M;85;0;50;0;0;127;0;0;135;127;262;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:59";="020000022";Z;0;0;0;0;0;3;0;0;0;3;3;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/22 19:10:00";="590782439";K;0;0;1;0;0;0;0;0;1;0;1;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:00";="590782439";M;60;0;136;13;0;56;0;0;196;69;265;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:00";="590782439";Z;1;0;0;0;0;0;0;0;1;0;1;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/23 11:54:58";="590049565";Z;7;0;6;0;0;74;0;0;13;74;87;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/24 14:38:28";="020000253";C;1;0;151;3;0;140;0;0;152;143;295;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:28";="020000253";K;0;0;9;1;0;7;0;0;9;8;17;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:28";="020000253";M;21;0;59;81;3;1014;0;0;83;1095;1178;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:28";="020000253";Z;1;0;0;4;0;16;0;0;1;20;21;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/25 10:37:49";="620003376";C;15;0;172;0;100;67;0;0;287;67;354;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:49";="620003376";K;0;0;19;0;10;0;0;0;29;0;29;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:49";="620003376";M;85;0;70;0;56;322;0;0;211;322;533;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:49";="620003376";Z;1;0;0;0;0;1;0;0;1;1;2;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 12:05:51";="620101337";C;1;0;92;0;8;173;0;0;101;173;274;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:51";="620101337";K;0;0;21;0;2;5;0;0;23;5;28;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:51";="620101337";M;26;1;29;0;8;1699;0;0;63;1700;1763;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:51";="620101337";Z;2;0;2;0;10;33;0;0;14;33;47;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 14:46:54";="800000077";M;7;0;0;0;40;110;0;0;47;110;157;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:54";="800000077";Z;0;0;0;0;1;5;0;0;1;5;6;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/28 12:10:05";="590782645";M;93;0;5;1;1;164;0;0;99;165;264;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:10:05";="590782645";Z;8;0;0;0;0;12;0;0;8;12;20;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:51:28";="600100572";M;0;0;0;0;21;160;0;0;21;160;181;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:28";="600100572";Z;0;0;0;0;2;16;0;0;2;16;18;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 15:44:35";="020004495";M;4;0;11;0;9;398;0;0;24;398;422;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:35";="020004495";Z;0;0;0;0;0;27;0;0;0;27;27;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/29 09:24:35";="020000055";M;84;0;0;0;0;61;0;0;84;61;145;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:35";="020000055";Z;5;0;0;0;0;12;0;0;5;12;17;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:28:36";="590782652";C;1;0;61;0;0;42;0;0;62;42;104;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:36";="590782652";K;0;0;23;0;0;0;0;0;23;0;23;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:36";="590782652";M;23;0;19;0;0;652;0;0;42;652;694;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:36";="590782652";Z;3;0;0;0;0;22;0;0;3;22;25;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:48:49";="590780052";M;116;30;13;8;0;24;0;0;129;62;191;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 10:19:40";="600100648";C;1;0;7;0;8;46;0;0;16;46;62;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:40";="600100648";K;0;0;0;0;2;0;0;0;2;0;2;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:40";="600100648";M;1;1;6;0;47;612;0;0;54;613;667;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:40";="600100648";Z;0;0;0;0;1;6;0;0;1;6;7;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 13:05:25";="620000026";C;1;0;322;1;2;8;0;0;325;9;334;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:25";="620000026";K;0;0;3;0;0;0;0;0;3;0;3;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:25";="620000026";M;8;2;112;12;0;53;0;0;120;67;187;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 14:21:20";="620003350";C;0;0;0;0;1;2;0;0;1;2;3;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:20";="620003350";M;64;0;230;1;276;725;0;0;570;726;1296;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:20";="620003350";Z;1;0;2;0;0;3;0;0;3;3;6;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:23:22";="590000600";M;30;0;6;0;0;383;0;0;36;383;419;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:22";="590000600";Z;0;0;1;0;0;0;0;0;1;0;1;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:24:57";="620025346";C;2;0;150;1;16;104;0;0;168;105;273;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:57";="620025346";K;1;0;37;0;7;1;0;0;45;1;46;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:57";="620025346";M;64;1;88;5;3;975;0;0;155;981;1136;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:57";="620025346";Z;0;0;0;0;0;5;0;0;0;5;5;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:40:29";="590001749";C;0;0;0;0;0;1;0;0;0;1;1;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:29";="590001749";K;0;0;39;0;0;0;0;0;39;0;39;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:29";="590001749";M;133;4;91;40;0;364;0;0;224;408;632;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:29";="590001749";Z;7;0;5;4;8;45;0;0;20;49;69;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:46:40";="590781670";M;71;2;223;5;0;235;0;0;294;242;536;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:40";="590781670";Z;1;0;6;0;0;14;0;0;7;14;21;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:50:51";="020000261";C;14;0;161;7;1;134;0;0;176;141;317;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:51";="020000261";K;14;0;107;0;2;71;0;0;123;71;194;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:51";="020000261";M;110;0;147;4;6;1504;0;0;263;1508;1771;2023.7;X020000261;29AUG23;14:50:19
