"champ";"statut";"annee";"periode";"date du resultat";"ipe";acte_ccam;nb_act1;nb_act4;aff_code;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/11 08:31:09";="600100168";FCFC00130;1;1;FCFC001-30;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:09";="600100168";FCFC00330;2;2;FCFC003-30;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:09";="600100168";HFFC01830;3;3;HFFC018-30;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:09";="600100168";HHFA00230;8;8;HHFA002-30;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:09";="600100168";HHFA00830;7;7;HHFA008-30;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:09";="600100168";HHFA02330;1;1;HHFA023-30;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:09";="600100168";HJFA00430;2;2;HJFA004-30;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:09";="600100168";JAFC00130;3;3;JAFC001-30;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:09";="600100168";JAFC01930;4;4;JAFC019-30;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:09";="600100168";JBMC00130;1;1;JBMC001-30;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:09";="600100168";JGFC00130;12;12;JGFC001-30;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:09";="600100168";JGFE02301;2;2;JGFE023-01;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:09";="600100168";JGFE02302;36;36;JGFE023-02;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:09";="600100168";JKDC00138;13;13;JKDC001-38;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:09";="600100168";JKFC00430;2;2;JKFC004-30;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:09";="600100168";JLCA00507;1;1;JLCA005-07;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:09";="600100168";JLDC01538;7;7;JLDC015-38;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:09";="600100168";NEKA00502;1;1;NEKA005-02;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:09";="600100168";NEKA00602;1;1;NEKA006-02;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/24 14:38:26";="020000253";HFCA00101;1;1;HFCA001-01;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:26";="020000253";HFFC01830;19;19;HFFC018-30;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:26";="020000253";HHFA00530;1;1;HHFA005-30;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:26";="020000253";JBMC00130;1;1;JBMC001-30;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:26";="020000253";JGFE02301;6;6;JGFE023-01;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:26";="020000253";JGFE02302;39;39;JGFE023-02;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:26";="020000253";JGFE02303;4;4;JGFE023-03;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:26";="020000253";JGFE02304;6;6;JGFE023-04;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:26";="020000253";JKDA00108;1;1;JKDA001-08;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:26";="020000253";JKDA00307;1;1;JKDA003-07;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:26";="020000253";JKDA04208;2;2;JKDA042-08;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:26";="020000253";JKFA00107;4;4;JKFA001-07;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:26";="020000253";JKFA00207;1;1;JKFA002-07;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:26";="020000253";JKFA00407;2;2;JKFA004-07;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:26";="020000253";JKFA01207;1;1;JKFA012-07;2023.7;X020000253;24AUG23;14:38:01
