"champ";"statut";"annee";"periode";"date du resultat";"ipe";libel;dp;eff_sej;eff_mon;dep;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:11";="800000036";;J18;1;20;131;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:31:08";="600100168";ABEVMY;C20;13;16;2535.343;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:08";="600100168";ABEVMY;C50;4;12;1874.53;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:08";="600100168";ABEVMY;C34;6;9;1513.833;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:08";="600100168";ABEVMY;C18;7;7;1093.47;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:08";="600100168";AYBINTIO;C18;2;2;312.42;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:08";="600100168";AYBINTIO;C20;1;1;156.21;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:08";="600100168";AYBINTIO;C34;1;1;156.21;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:08";="600100168";CABAZITAXEL;C61;6;6;3103.83;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:08";="600100168";ENTYVIO;K51;57;58;67342.13;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:08";="600100168";ENTYVIO;K50;27;27;31348.94;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:08";="600100168";ERBITUX;C18;7;15;10821.45;2023.7;X600100168;11AUG23;8:30:51
