"champ";"statut";"annee";"periode";"date du resultat";"ipe";racine;ghm;ghs;majo;COUNT;PERCENT;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:01";="800000036";20Z02;20Z021;7258;;1;100;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:01";="800000036";20Z04;20Z041;7267;;12;80;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:01";="800000036";20Z04;20Z042;7268;;2;13.333333333;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:01";="800000036";20Z04;20Z043;7269;;1;6.6666666667;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:01";="800000036";23Z02;23Z02Z;7993;***;26;100;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:30:59";="600100168";04M03;04M031;1134;;2;28.571428571;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:59";="600100168";04M03;04M032;1135;;3;42.857142857;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:59";="600100168";04M03;04M033;1136;;2;28.571428571;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:59";="600100168";06C19;06C191;1991;;27;84.375;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:59";="600100168";06C19;06C191;2014;***;5;15.625;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:59";="600100168";08C61;08C611;2948;;1;100;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:59";="600100168";09C19;09C191;3431;;1;100;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:59";="600100168";09C22;09C221;3461;;2;25;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:59";="600100168";09C22;09C22J;3460;;6;75;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:59";="600100168";11C03;11C031;4116;;1;100;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:59";="600100168";23Z02;23Z02Z;7992;;1;4;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:59";="600100168";23Z02;23Z02Z;7993;***;24;96;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/18 15:14:40";="020000022";04M03;04M033;1136;;1;100;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:40";="020000022";20Z04;20Z041;7267;;10;43.47826087;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:40";="020000022";20Z04;20Z042;7268;;9;39.130434783;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:40";="020000022";20Z04;20Z043;7269;;4;17.391304348;2023.7;X020000022;18AUG23;15:14:25
