"champ";"statut";"annee";"periode";"date du resultat";"ipe";racine;ghm;ghs;majo_;COUNT;PERCENT;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:01";="800000036";01M13;01M131;243;Plein;1;100;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:01";="800000036";01M21;01M21T;337;Plein;21;100;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:01";="800000036";01M35;01M35T;339;Plein;1;100;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:01";="800000036";03M05;03M05T;877;Plein;1;100;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:01";="800000036";03M15;03M15T;882;Plein;2;100;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:01";="800000036";04M07;04M07T;1155;Plein;1;100;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:01";="800000036";05M09;05M09T;1757;Plein;1;100;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:01";="800000036";06M12;06M12T;2200;Plein;1;100;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:01";="800000036";07M06;07M06T;2528;Plein;1;100;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:01";="800000036";16M11;16M11T;6186;Plein;2;100;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:01";="800000036";23M06;23M06T;7967;Plein;2;100;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:01";="800000036";23M20;23M20T;7989;Plein;1;100;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:31:00";="600100168";01M11;01M11T;237;Plein;1;50;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:00";="600100168";01M11;01M11T;5011;Intermédiaire;1;50;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:00";="600100168";01M21;01M21T;337;Plein;34;100;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:00";="600100168";01M22;01M22T;280;Plein;3;100;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:00";="600100168";02M07;02M07T;528;Plein;1;50;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:00";="600100168";02M07;02M07T;541;Intermédiaire;1;50;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:00";="600100168";03M13;03M131;868;Plein;1;100;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:00";="600100168";04M11;04M111;1171;Plein;3;100;2023.7;X600100168;11AUG23;8:30:51
