"champ";"statut";"annee";"periode";"date du resultat";"ipe";lib;lib2;nb;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:02";="800000036";A. Activités autorisées dans le champ obstétrique / néonatalogie;Diagnostic prénatal;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:02";="800000036";A. Activités autorisées dans le champ obstétrique / néonatalogie;Obstétrique hors IVG;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:02";="800000036";A. Activités autorisées dans le champ obstétrique / néonatalogie;Néonatalogie et réanimation néonatale;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:02";="800000036";A. Activités autorisées dans le champ obstétrique / néonatalogie;Activité clinique d'assistance médicale à la proocréation;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:02";="800000036";B. Activités autorisées SIOS;Greffes d'organes;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:02";="800000036";B. Activités autorisées SIOS;Neuro-chirugie;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:02";="800000036";B. Activités autorisées SIOS;Chirurgie cardiaque;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:02";="800000036";B. Activités autorisées SIOS;Grands brûlés;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:02";="800000036";B. Activités autorisées SIOS;Neuro-radiologie;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:02";="800000036";C. Autres activités autorisées de médecine et chirurgie spécialisées;Cardiologie interventionnelle;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:02";="800000036";C. Autres activités autorisées de médecine et chirurgie spécialisées;Traitement du cancer - Chirurgie;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:02";="800000036";C. Autres activités autorisées de médecine et chirurgie spécialisées;Traitement du cancer - Chimiothérapie (séjours);0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:02";="800000036";C. Autres activités autorisées de médecine et chirurgie spécialisées;Traitement du cancer - Chimiothérapie (séances);0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:02";="800000036";C. Autres activités autorisées de médecine et chirurgie spécialisées;Traitement du cancer - Radiothérapie (séjours);0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:02";="800000036";C. Autres activités autorisées de médecine et chirurgie spécialisées;Traitement du cancer - Radiothérapie (séances);0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:02";="800000036";C. Autres activités autorisées de médecine et chirurgie spécialisées;IRC - Activités dans le champ IPA (*);0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:02";="800000036";C. Autres activités autorisées de médecine et chirurgie spécialisées;Autres activités de dialyse (centre pour enfants et séances d'entrainement);0;2023.7;X800000036;08AUG23;14:40:54
