"champ";"statut";"annee";"periode";"date du resultat";"ipe";lib;aff;ghm;ponder;dms;pct_rea;pct_si;pct_sc;age_moy;age_med;pct_homme;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:22";="800000036";23K02Z Explorations nocturnes et apparentées : séjours de moins de 2 jours;0;23K02Z;1;1;0;0;0;26;26;100;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:31:17";="600100168";04M033 Bronchites et asthme, âge supérieur à 17 ans, niveau 3;0;04M033;1;7;0;0;0;74;74;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:17";="600100168";05M092 Insuffisances cardiaques et états de choc circulatoire, niveau 2;0;05M092;1;20;0;0;0;85;85;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:17";="600100168";16M111 Autres troubles de la lignée érythrocytaire, âge supérieur à 17 ans, niveau 1;0;16M111;1;2;0;0;0;87;87;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/18 15:15:09";="020000022";04M054 Pneumonies et pleurésies banales, âge supérieur à 17 ans, niveau 4;0;04M054;1;29;0;0;0;80;80;100;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:09";="020000022";05M084 Arythmies et troubles de la conduction cardiaque, niveau 4;0;05M084;1;11;0;0;0;95;95;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:09";="020000022";05M092 Insuffisances cardiaques et états de choc circulatoire, niveau 2;0;05M092;1;13;0;0;0;88;88;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:09";="020000022";05M13T Douleurs thoraciques, très courte durée;0;05M13T;1;0;0;0;0;32;32;100;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:09";="020000022";23K02Z Explorations nocturnes et apparentées : séjours de moins de 2 jours;0;23K02Z;1;1;0;0;0;42;42;100;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/22 19:10:06";="590782439";05M20Z Explorations et surveillance pour affections de l'appareil circulatoire;0;05M20Z;1;0;0;0;0;66;66;100;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:06";="590782439";23M20Z Autres symptômes et motifs de recours aux soins de la CMD 23;0;23M20Z;1;6;0;0;0;71;71;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/24 14:38:46";="020000253";04M053 Pneumonies et pleurésies banales, âge supérieur à 17 ans, niveau 3;0;04M053;3;13.666666667;0;0;0;82.666666667;83;66.666666667;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:46";="020000253";10M183 Troubles nutritionnels divers, âge supérieur à 17 ans, niveau 3;0;10M183;1;8;0;0;0;77;77;100;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:46";="020000253";16M11T Autres troubles de la lignée érythrocytaire, âge supérieur à 17 ans, très courte durée;0;16M11T;1;1;0;0;0;81;81;100;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:46";="020000253";19M072 Troubles mentaux d'origine organique et retards mentaux, âge inférieur à 80 ans, niveau 2;0;19M072;1;3;0;0;0;78;78;100;2023.7;X020000253;24AUG23;14:38:01
