"champ";"statut";"annee";"periode";"date du resultat";"ipe";lib;nb;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:22";="800000036";Nombre RSA avec Diags avec antécédents de covid-19;6;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:22";="800000036";Nombre RSA correctement chainés;6;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:22";="800000036";Nombre RSA groupés en CM 90;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:31:17";="600100168";Nombre RSA avec Diags avec antécédents de covid-19;43;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:17";="600100168";Nombre RSA correctement chainés;43;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:17";="600100168";Nombre RSA groupés en CM 90;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/18 15:15:10";="020000022";Nombre RSA avec Diags avec antécédents de covid-19;21;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:10";="020000022";Nombre RSA correctement chainés;21;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:10";="020000022";Nombre RSA groupés en CM 90;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/22 19:10:06";="590782439";Nombre RSA avec Diags avec antécédents de covid-19;124;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:06";="590782439";Nombre RSA correctement chainés;124;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:06";="590782439";Nombre RSA groupés en CM 90;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/23 11:55:03";="590049565";Nombre RSA avec Diags avec antécédents de covid-19;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:03";="590049565";Nombre RSA correctement chainés;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:03";="590049565";Nombre RSA groupés en CM 90;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/24 14:38:46";="020000253";Nombre RSA avec Diags avec antécédents de covid-19;29;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:46";="020000253";Nombre RSA correctement chainés;29;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:46";="020000253";Nombre RSA groupés en CM 90;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/25 10:37:58";="620003376";Nombre RSA avec Diags avec antécédents de covid-19;12;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:58";="620003376";Nombre RSA correctement chainés;12;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:58";="620003376";Nombre RSA groupés en CM 90;0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 12:06:06";="620101337";Nombre RSA avec Diags avec antécédents de covid-19;108;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:06";="620101337";Nombre RSA correctement chainés;107;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:06";="620101337";Nombre RSA groupés en CM 90;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 14:47:02";="800000077";Nombre RSA avec Diags avec antécédents de covid-19;29;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:47:02";="800000077";Nombre RSA correctement chainés;29;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:47:02";="800000077";Nombre RSA groupés en CM 90;0;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/28 12:10:12";="590782645";Nombre RSA avec Diags avec antécédents de covid-19;12;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:10:12";="590782645";Nombre RSA correctement chainés;12;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:10:12";="590782645";Nombre RSA groupés en CM 90;0;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:51:34";="600100572";Nombre RSA avec Diags avec antécédents de covid-19;0;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:34";="600100572";Nombre RSA correctement chainés;0;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:34";="600100572";Nombre RSA groupés en CM 90;0;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 15:44:42";="020004495";Nombre RSA avec Diags avec antécédents de covid-19;54;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:42";="020004495";Nombre RSA correctement chainés;54;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:42";="020004495";Nombre RSA groupés en CM 90;0;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/29 09:24:42";="020000055";Nombre RSA avec Diags avec antécédents de covid-19;7;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:42";="020000055";Nombre RSA correctement chainés;7;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:42";="020000055";Nombre RSA groupés en CM 90;0;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:28:43";="590782652";Nombre RSA avec Diags avec antécédents de covid-19;21;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:43";="590782652";Nombre RSA correctement chainés;21;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:43";="590782652";Nombre RSA groupés en CM 90;0;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:48:55";="590780052";Nombre RSA avec Diags avec antécédents de covid-19;0;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:55";="590780052";Nombre RSA correctement chainés;0;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:55";="590780052";Nombre RSA groupés en CM 90;0;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 10:19:48";="600100648";Nombre RSA avec Diags avec antécédents de covid-19;1;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:48";="600100648";Nombre RSA correctement chainés;1;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:48";="600100648";Nombre RSA groupés en CM 90;0;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 13:05:33";="620000026";Nombre RSA avec Diags avec antécédents de covid-19;4;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:33";="620000026";Nombre RSA correctement chainés;4;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:33";="620000026";Nombre RSA groupés en CM 90;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:23:23";="590065223";Nombre RSA avec Diags avec antécédents de covid-19;0;2023.7;X590065223;29AUG23;13:23:00
"mco";"dgf";"2023";"7";"2023/08/29 13:23:23";="590065223";Nombre RSA correctement chainés;0;2023.7;X590065223;29AUG23;13:23:00
"mco";"dgf";"2023";"7";"2023/08/29 13:23:23";="590065223";Nombre RSA groupés en CM 90;0;2023.7;X590065223;29AUG23;13:23:00
"mco";"dgf";"2023";"7";"2023/08/29 14:21:29";="620003350";Nombre RSA avec Diags avec antécédents de covid-19;62;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:29";="620003350";Nombre RSA correctement chainés;62;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:29";="620003350";Nombre RSA groupés en CM 90;0;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:23:29";="590000600";Nombre RSA avec Diags avec antécédents de covid-19;0;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:29";="590000600";Nombre RSA correctement chainés;0;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:29";="590000600";Nombre RSA groupés en CM 90;0;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:25:04";="620025346";Nombre RSA avec Diags avec antécédents de covid-19;37;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:04";="620025346";Nombre RSA correctement chainés;37;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:04";="620025346";Nombre RSA groupés en CM 90;0;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:40:37";="590001749";Nombre RSA avec Diags avec antécédents de covid-19;14;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:37";="590001749";Nombre RSA correctement chainés;14;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:37";="590001749";Nombre RSA groupés en CM 90;0;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:46:47";="590781670";Nombre RSA avec Diags avec antécédents de covid-19;34;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:47";="590781670";Nombre RSA correctement chainés;34;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:47";="590781670";Nombre RSA groupés en CM 90;0;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:51:02";="020000261";Nombre RSA avec Diags avec antécédents de covid-19;144;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:51:02";="020000261";Nombre RSA correctement chainés;141;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:51:02";="020000261";Nombre RSA groupés en CM 90;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 16:13:58";="620100651";Nombre RSA avec Diags avec antécédents de covid-19;142;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:58";="620100651";Nombre RSA correctement chainés;142;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:58";="620100651";Nombre RSA groupés en CM 90;0;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:40:21";="620027839";Nombre RSA avec Diags avec antécédents de covid-19;0;2023.7;X620027839;29AUG23;16:39:44
"mco";"dgf";"2023";"7";"2023/08/29 16:40:21";="620027839";Nombre RSA correctement chainés;0;2023.7;X620027839;29AUG23;16:39:44
"mco";"dgf";"2023";"7";"2023/08/29 16:40:21";="620027839";Nombre RSA groupés en CM 90;0;2023.7;X620027839;29AUG23;16:39:44
"mco";"dgf";"2023";"7";"2023/08/30 08:35:54";="590780284";Nombre RSA avec Diags avec antécédents de covid-19;5;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:54";="590780284";Nombre RSA correctement chainés;5;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:54";="590780284";Nombre RSA groupés en CM 90;0;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:42:59";="020000287";Nombre RSA avec Diags avec antécédents de covid-19;136;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:42:59";="020000287";Nombre RSA correctement chainés;136;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:42:59";="020000287";Nombre RSA groupés en CM 90;0;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 10:33:01";="590797353";Nombre RSA avec Diags avec antécédents de covid-19;1;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:33:01";="590797353";Nombre RSA correctement chainés;1;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:33:01";="590797353";Nombre RSA groupés en CM 90;0;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 11:29:45";="590782421";Nombre RSA avec Diags avec antécédents de covid-19;11;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:45";="590782421";Nombre RSA correctement chainés;11;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:45";="590782421";Nombre RSA groupés en CM 90;0;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 12:11:59";="800000051";Nombre RSA avec Diags avec antécédents de covid-19;6;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 12:11:59";="800000051";Nombre RSA correctement chainés;6;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 12:11:59";="800000051";Nombre RSA groupés en CM 90;0;2023.7;X800000051;30AUG23;12:11:16
