"champ";"statut";"annee";"periode";"date du resultat";"ipe";contrat;COUNT;PERCENT;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:04";="800000036";Non renseigné;381;94.074074074;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:04";="800000036";89 : Bénéficiaire de la CMU complémentaire (en cours);24;5.9259259259;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:31:02";="600100168";Non renseigné;4825;100;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/18 15:14:44";="020000022";Non renseigné;592;100;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/22 19:09:52";="590782439";Non renseigné;988;99.097291876;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:52";="590782439";89 : Bénéficiaire de la CMU complémentaire (en cours);9;0.9027081244;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/23 11:54:49";="590049565";Non renseigné;158;100;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/24 14:38:15";="020000253";Non renseigné;15819;99.65979966;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:15";="020000253";89 : Bénéficiaire de la CMU complémentaire (en cours);51;0.3213003213;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:15";="020000253";XX;3;0.0189000189;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/25 10:37:35";="620003376";Non renseigné;12307;93.996792179;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:35";="620003376";89 : Bénéficiaire de la CMU complémentaire (en cours);785;5.995570152;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:35";="620003376";XX;1;0.007637669;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 12:05:39";="620101337";Non renseigné;14965;86.288416076;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:39";="620101337";89 : Bénéficiaire de la CMU complémentaire (en cours);2321;13.382921063;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:39";="620101337";XX;57;0.3286628611;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 14:46:41";="800000077";Non renseigné;588;86.343612335;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:41";="800000077";89 : Bénéficiaire de la CMU complémentaire (en cours);93;13.656387665;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/28 12:09:54";="590782645";Non renseigné;343;99.709302326;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:09:54";="590782645";89 : Bénéficiaire de la CMU complémentaire (en cours);1;0.2906976744;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:51:19";="600100572";Non renseigné;252;98.4375;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:19";="600100572";89 : Bénéficiaire de la CMU complémentaire (en cours);4;1.5625;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 15:44:26";="020004495";Non renseigné;2111;99.294449671;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:26";="020004495";89 : Bénéficiaire de la CMU complémentaire (en cours);2;0.0940733772;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:26";="020004495";XX;13;0.611476952;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/29 09:24:22";="020000055";Non renseigné;262;100;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:28:26";="590782652";Non renseigné;8545;99.487716847;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:26";="590782652";89 : Bénéficiaire de la CMU complémentaire (en cours);44;0.5122831529;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:48:41";="590780052";Non renseigné;1162;89.453425712;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:41";="590780052";89 : Bénéficiaire de la CMU complémentaire (en cours);137;10.546574288;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 10:19:28";="600100648";Non renseigné;3407;98.839570641;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:28";="600100648";89 : Bénéficiaire de la CMU complémentaire (en cours);40;1.1604293589;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 13:05:16";="620000026";Non renseigné;7126;99.775973117;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:16";="620000026";89 : Bénéficiaire de la CMU complémentaire (en cours);16;0.2240268832;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 14:21:11";="620003350";Non renseigné;3235;93.551185656;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:11";="620003350";89 : Bénéficiaire de la CMU complémentaire (en cours);223;6.4488143436;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:23:13";="590000600";Non renseigné;817;84.053497942;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:13";="590000600";89 : Bénéficiaire de la CMU complémentaire (en cours);155;15.946502058;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:24:47";="620025346";Non renseigné;7909;83.968574159;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:47";="620025346";04;2;0.0212336766;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:47";="620025346";89 : Bénéficiaire de la CMU complémentaire (en cours);1298;13.780656121;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:47";="620025346";XX;210;2.2295360442;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:40:19";="590001749";Non renseigné;2998;95.538559592;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:19";="590001749";89 : Bénéficiaire de la CMU complémentaire (en cours);134;4.270235819;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:19";="590001749";XX;6;0.1912045889;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:46:28";="590781670";Non renseigné;1099;100;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:50:37";="020000261";Non renseigné;23872;99.086833804;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:37";="020000261";89 : Bénéficiaire de la CMU complémentaire (en cours);176;0.730532957;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:37";="020000261";XX;44;0.1826332392;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 16:13:31";="620100651";Non renseigné;29352;99.266123305;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:31";="620100651";89 : Bénéficiaire de la CMU complémentaire (en cours);129;0.4362677128;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:31";="620100651";XX;88;0.2976089824;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:40:01";="620027839";Non renseigné;22138;100;2023.7;X620027839;29AUG23;16:39:44
"mco";"dgf";"2023";"7";"2023/08/30 08:35:29";="590780284";Non renseigné;14947;90.40159671;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:29";="590780284";04;53;0.3205515907;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:29";="590780284";89 : Bénéficiaire de la CMU complémentaire (en cours);1532;9.2657554131;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:29";="590780284";XX;2;0.0120962864;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:42:35";="020000287";Non renseigné;5554;98.896011396;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:42:35";="020000287";89 : Bénéficiaire de la CMU complémentaire (en cours);62;1.103988604;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 10:32:31";="590797353";Non renseigné;25354;83.335524586;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:32:31";="590797353";04;300;0.986063634;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:32:31";="590797353";89 : Bénéficiaire de la CMU complémentaire (en cours);4757;15.635682356;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:32:31";="590797353";XX;13;0.0427294241;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 11:29:13";="590782421";Non renseigné;42463;97.524172619;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:13";="590782421";89 : Bénéficiaire de la CMU complémentaire (en cours);1076;2.4712340093;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:13";="590782421";XX;2;0.0045933718;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 12:11:34";="800000051";Non renseigné;479;89.53271028;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 12:11:34";="800000051";89 : Bénéficiaire de la CMU complémentaire (en cours);56;10.46728972;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 13:42:00";="800000135";Non renseigné;161;84.736842105;2023.7;X800000135;30AUG23;13:41:48
"mco";"dgf";"2023";"7";"2023/08/30 13:42:00";="800000135";89 : Bénéficiaire de la CMU complémentaire (en cours);29;15.263157895;2023.7;X800000135;30AUG23;13:41:48
"mco";"dgf";"2023";"7";"2023/08/30 14:11:07";="590782165";Non renseigné;11569;99.732758621;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:11:07";="590782165";89 : Bénéficiaire de la CMU complémentaire (en cours);31;0.2672413793;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:39:04";="620101360";Non renseigné;15643;99.808588018;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:39:04";="620101360";89 : Bénéficiaire de la CMU complémentaire (en cours);30;0.1914119824;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:55:42";="590781662";Non renseigné;2707;78.967327888;2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 14:55:42";="590781662";89 : Bénéficiaire de la CMU complémentaire (en cours);721;21.032672112;2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 15:04:29";="590781621";Non renseigné;3637;82.998630762;2023.7;X590781621;30AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/30 15:04:29";="590781621";89 : Bénéficiaire de la CMU complémentaire (en cours);740;16.887266089;2023.7;X590781621;30AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/30 15:04:29";="590781621";XX;5;0.1141031492;2023.7;X590781621;30AUG23;15:03:46
