"champ";"statut";"annee";"periode";"date du resultat";"ipe";exotm;COUNT;PERCENT;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:02";="800000036";0 : Pas d'exonération;172;42.469135802;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:02";="800000036";2 : Soins relatifs à un séjour > 30 jours;1;0.2469135802;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:02";="800000036";3 : Soins particuliers exonérés;3;0.7407407407;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:02";="800000036";4 : Soins conformes au protocole ALD;172;42.469135802;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:02";="800000036";5 : Assuré ou bénéficiaire exonéré (régime exonérant);49;12.098765432;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:02";="800000036";6 : Réservé SESAM-VITALE pour les régimes spéciaux SNCF;5;1.2345679012;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:02";="800000036";9 : FSV ou FSI;2;0.4938271605;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:02";="800000036";Séjours en attente de taux de prise en charge;1;0.2469135802;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:31:01";="600100168";0 : Pas d'exonération;1692;35.067357513;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:01";="600100168";2 : Soins relatifs à un séjour > 30 jours;2;0.0414507772;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:01";="600100168";3 : Soins particuliers exonérés;1;0.0207253886;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:01";="600100168";4 : Soins conformes au protocole ALD;2278;47.212435233;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:01";="600100168";5 : Assuré ou bénéficiaire exonéré (régime exonérant);22;0.4559585492;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:01";="600100168";9 : FSV ou FSI;2;0.0414507772;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:01";="600100168";C : Soins exonérés en codage CCAM du fait de la nature de l'acte, ou du dépassement du seuil;828;17.160621762;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/18 15:14:42";="020000022";0 : Pas d'exonération;207;34.966216216;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:42";="020000022";3 : Soins particuliers exonérés;5;0.8445945946;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:42";="020000022";4 : Soins conformes au protocole ALD;313;52.871621622;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:42";="020000022";5 : Assuré ou bénéficiaire exonéré (régime exonérant);64;10.810810811;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:42";="020000022";X: séjours non facturables, en attente de droits ou pb de codage;2;0.3378378378;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:42";="020000022";Séjours en attente de taux de prise en charge;1;0.1689189189;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/22 19:09:50";="590782439";0 : Pas d'exonération;268;26.880641926;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:50";="590782439";1 : Soins en rapport avec K>60 ou montant>120¤;48;4.81444333;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:50";="590782439";2 : Soins relatifs à un séjour > 30 jours;1;0.1003009027;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:50";="590782439";3 : Soins particuliers exonérés;9;0.9027081244;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:50";="590782439";4 : Soins conformes au protocole ALD;573;57.472417252;2023.7;X590782439;22AUG23;19:09:40
