"champ";"statut";"annee";"periode";"date du resultat";"ipe";factur18;COUNT;PERCENT;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:03";="800000036";Non facturation du TMF;405;100;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:31:02";="600100168";Non facturation du TMF;4018;83.274611399;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:02";="600100168";Facturation du TMF;807;16.725388601;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/18 15:14:43";="020000022";Non facturation du TMF;592;100;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/22 19:09:51";="590782439";Non facturation du TMF;949;95.18555667;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:51";="590782439";Facturation du TMF;48;4.81444333;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/23 11:54:48";="590049565";Non facturation du TMF;158;100;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/24 14:38:14";="020000253";Non facturation du TMF;13882;87.456687457;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:14";="020000253";Facturation du TMF;1991;12.543312543;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/25 10:37:35";="620003376";Non facturation du TMF;6834;52.195829833;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:35";="620003376";Facturation du TMF;6259;47.804170167;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 12:05:39";="620101337";Non facturation du TMF;15985;92.169751485;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:39";="620101337";Facturation du TMF;1358;7.8302485153;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 14:46:40";="800000077";Non facturation du TMF;680;99.853157122;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:40";="800000077";Facturation du TMF;1;0.1468428781;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/28 12:09:54";="590782645";Non facturation du TMF;344;100;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:51:19";="600100572";Non facturation du TMF;256;100;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 15:44:25";="020004495";Non facturation du TMF;2123;99.858889934;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:25";="020004495";Facturation du TMF;3;0.1411100659;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/29 09:24:21";="020000055";Non facturation du TMF;259;98.854961832;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:21";="020000055";Facturation du TMF;3;1.1450381679;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:28:26";="590782652";Non facturation du TMF;6612;76.982186518;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:26";="590782652";Facturation du TMF;1977;23.017813482;2023.7;X590782652;29AUG23;9:28:13
