"champ";"statut";"annee";"periode";"date du resultat";"ipe";type;codegeo;efft1;pct1;st1;efft2;pct2;st2;efft3;pct3;st3;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:00";="800000036";3;80300;11;52.380952381;52.380952381;12;52.173913043;52.173913043;229;63.434903047;63.434903047;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:00";="800000036";1;60100;3;14.285714286;66.666666667;0;0;;0;0;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:00";="800000036";1;80600;2;9.5238095238;76.19047619;0;0;;0;0;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:00";="800000036";3;80800;2;9.5238095238;85.714285714;4;17.391304348;69.565217391;21;5.8171745152;78.670360111;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:00";="800000036";3;62121;0;0;;0;0;;3;0.8310249307;89.473684211;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:00";="800000036";2;62124;0;0;;3;13.043478261;82.608695652;0;0;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:00";="800000036";3;62450;0;0;;0;0;;6;1.6620498615;85.595567867;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:00";="800000036";3;80200;0;0;;0;0;;8;2.216066482;83.933518006;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:00";="800000036";3;80360;0;0;;0;0;;6;1.6620498615;87.257617729;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:00";="800000036";3;80560;0;0;;0;0;;11;3.0470914127;81.717451524;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:00";="800000036";3;80C01;0;0;;0;0;;34;9.4182825485;72.853185596;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:00";="800000036";3;80C02;0;0;;0;0;;5;1.3850415512;88.64265928;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:30:58";="600100168";3;60100;216;12.492770388;12.492770388;46;5.6511056511;34.889434889;192;8.4136722174;8.4136722174;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:58";="600100168";3;60180;132;7.6344707924;20.12724118;47;5.773955774;29.238329238;120;5.2585451358;28.001752848;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:58";="600100168";3;60300;124;7.1717755928;27.299016773;42;5.1597051597;40.049140049;120;5.2585451358;33.260297984;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:58";="600100168";3;60160;102;5.8993637941;33.198380567;30;3.6855036855;61.670761671;61;2.6730937774;57.887817704;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:58";="600100168";3;60500;102;5.8993637941;39.097744361;55;6.7567567568;23.464373464;181;7.9316389132;16.345311131;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:58";="600100168";3;60290;88;5.0896471949;44.187391556;26;3.1941031941;68.304668305;88;3.856266433;42.287467134;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:58";="600100168";3;60870;68;3.9329091961;48.120300752;17;2.0884520885;83.16953317;47;2.0595968449;71.165644172;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:58";="600100168";3;60260;67;3.8750722961;51.995373048;39;4.7911547912;49.877149877;146;6.3978965819;22.743207713;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:58";="600100168";3;60270;66;3.8172353962;55.812608444;77;9.4594594595;9.4594594595;118;5.1709027169;38.431200701;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:58";="600100168";3;60700;50;2.8918449971;58.704453441;28;3.4398034398;65.110565111;77;3.3742331288;49.255039439;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:58";="600100168";3;60600;47;2.7183342973;61.422787739;24;2.9484029484;71.253071253;50;2.1910604733;64.899211218;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:58";="600100168";3;60340;42;2.4291497976;63.851937536;35;4.2997542998;54.176904177;72;3.1551270815;52.410166521;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:58";="600100168";3;60740;42;2.4291497976;66.281087334;11;1.3513513514;87.837837838;34;1.4899211218;79.886064855;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:58";="600100168";3;95270;42;2.4291497976;68.710237131;59;7.2481572482;16.707616708;82;3.5933391762;45.88080631;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:58";="600100168";3;95470;40;2.3134759977;71.023713129;41;5.0368550369;45.085995086;64;2.8045574058;55.214723926;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:58";="600100168";3;60550;36;2.0821283979;73.105841527;21;2.5798525799;78.992628993;40;1.7528483786;76.643295355;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:58";="600100168";3;60250;35;2.024291498;75.130133025;17;2.0884520885;81.081081081;59;2.5854513585;60.473269062;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:58";="600100168";3;60520;30;1.7351069983;76.865240023;0;0;;47;2.0595968449;69.106047327;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:58";="600100168";3;60140;29;1.6772700983;78.542510121;21;2.5798525799;73.832923833;43;1.884312007;73.049956179;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:58";="600100168";3;60580;27;1.5615962984;80.10410642;31;3.8083538084;57.985257985;49;2.1472392638;67.046450482;2023.7;X600100168;11AUG23;8:30:51
