"champ";"statut";"annee";"periode";"date du resultat";"ipe";tum1;eff;nbchir;chirurg0;nbmutrf;nbdom;nbdc;nb0j;nbj;agem;type;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:40:59";="800000036";ZAUM;405;0;0;59;313;33;22;3040;70.511111111;1;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:59";="800000036";tot;405;0;0;59;313;33;22;3040;70.511111111;1;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:59";="800000036";ZAUM;382;0;0;58;291;33;22;3017;71.219895288;2;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:59";="800000036";tot;382;0;0;58;291;33;22;3017;71.219895288;2;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:30:57";="600100168";CA;554;452;451;3;551;0;546;10;51.187725632;1;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:57";="600100168";HP;2549;0;0;0;2549;0;1733;836;59.14907807;1;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:57";="600100168";ZAUM;1722;511;458;127;1582;13;6;6141;62.026132404;1;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:57";="600100168";tot;4825;963;909;130;4682;13;2285;6987;59.261761658;1;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:57";="600100168";CA;553;452;451;3;550;0;546;9;51.142857143;2;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:57";="600100168";HP;1736;0;0;0;1736;0;1733;23;58.554147465;2;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:57";="600100168";ZAUM;1722;511;458;127;1582;13;6;6141;62.026132404;2;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:57";="600100168";tot;4011;963;909;130;3868;13;2285;6173;59.022936923;2;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/18 15:14:36";="020000022";ZAUM;592;0;0;263;300;29;112;4855;73.956081081;1;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:36";="020000022";tot;592;0;0;263;300;29;112;4855;73.956081081;1;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:36";="020000022";ZAUM;514;0;0;235;250;29;112;4777;74.984435798;2;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:36";="020000022";tot;514;0;0;235;250;29;112;4777;74.984435798;2;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/22 19:09:47";="590782439";HP;293;0;0;0;293;0;284;9;63.04778157;1;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:47";="590782439";SC;30;0;0;1;29;0;0;155;68.233333333;1;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:47";="590782439";ZAUM;674;0;0;107;552;15;137;3121;64.336795252;1;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:47";="590782439";tot;997;0;0;108;874;15;421;3285;64.075225677;1;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:47";="590782439";HP;284;0;0;0;284;0;284;0;62.957746479;2;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:47";="590782439";SC;30;0;0;1;29;0;0;155;68.233333333;2;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:47";="590782439";ZAUM;673;0;0;107;551;15;137;3120;64.317979198;2;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:47";="590782439";tot;987;0;0;108;864;15;421;3275;64.045592705;2;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/23 11:54:45";="590049565";ZAUM;158;0;0;15;17;126;3;3378;76.088607595;1;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:54:45";="590049565";tot;158;0;0;15;17;126;3;3378;76.088607595;1;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:54:45";="590049565";ZAUM;158;0;0;15;17;126;3;3378;76.088607595;2;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:54:45";="590049565";tot;158;0;0;15;17;126;3;3378;76.088607595;2;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/24 14:38:08";="020000253";CA;1118;865;863;2;1116;0;1063;72;47.394454383;1;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:08";="020000253";HP;6801;42;41;19;6782;0;1460;5382;65.063667108;1;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:08";="020000253";REA;106;7;5;50;30;26;2;1727;63.264150943;1;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:08";="020000253";SC;57;4;2;14;33;10;2;517;54.175438596;1;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:08";="020000253";SI;278;12;1;96;175;7;5;1937;69.917266187;1;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:08";="020000253";UHCD;2998;51;30;406;2554;38;2020;3183;52.019346231;1;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:08";="020000253";ZAUM;4515;1263;964;427;3992;96;253;24243;48.185795901;1;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:08";="020000253";tot;15873;2244;1906;1014;14682;177;4805;37061;56.588475304;1;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:08";="020000253";CA;1107;865;863;2;1105;0;1063;61;47.193315266;2;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:08";="020000253";HP;1278;42;41;5;1273;0;1268;51;59.058685446;2;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:08";="020000253";REA;106;7;5;50;30;26;2;1727;63.264150943;2;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:08";="020000253";SC;57;4;2;14;33;10;2;517;54.175438596;2;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:08";="020000253";SI;275;12;1;96;172;7;5;1934;70.334545455;2;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:08";="020000253";UHCD;2996;51;30;406;2552;38;2018;3183;52.036715621;2;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:08";="020000253";ZAUM;3424;1146;847;409;2922;93;194;20026;58.043982845;2;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:08";="020000253";tot;9243;2127;1789;982;8087;174;4552;27499;55.33924021;2;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/25 10:37:28";="620003376";CA;8111;4085;4085;6;8105;0;7917;194;57.505116508;1;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:28";="620003376";HP;1156;0;0;3;1153;0;100;1056;54.569204152;1;2023.7;X620003376;25AUG23;10:37:19
