"champ";"statut";"annee";"periode";"date du resultat";"ipe";mod_ent;tum1;eff;nbchir;chirurg0;nbmutrf;nbdom;nbdc;nb0j;nbj;agem;type;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:00";="800000036";DOM;ZAUM;247;0;0;14;219;14;21;1223;66.048582996;DOM;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:00";="800000036";TRMUT;ZAUM;61;0;0;22;25;14;1;749;78.409836066;TRMUT;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:00";="800000036";URG;ZAUM;74;0;0;22;47;5;0;1045;82.554054054;URG;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:30:58";="600100168";DOM;CA;553;452;451;3;550;0;546;9;51.142857143;DOM;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:58";="600100168";DOM;HP;1736;0;0;0;1736;0;1733;23;58.554147465;DOM;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:58";="600100168";DOM;ZAUM;1660;507;457;102;1547;11;6;5735;61.477710843;DOM;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:58";="600100168";TRMUT;ZAUM;62;4;1;25;35;2;0;406;76.709677419;TRMUT;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/18 15:14:36";="020000022";DOM;ZAUM;305;0;0;141;151;13;111;2291;73.150819672;DOM;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:36";="020000022";TRMUT;ZAUM;209;0;0;94;99;16;1;2486;77.660287081;TRMUT;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/22 19:09:47";="590782439";DOM;HP;284;0;0;0;284;0;284;0;62.957746479;DOM;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:47";="590782439";DOM;SC;29;0;0;1;28;0;0;147;68.137931034;DOM;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:47";="590782439";DOM;ZAUM;557;0;0;47;498;12;136;2166;62.197486535;DOM;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:47";="590782439";TRMUT;SC;1;0;0;0;1;0;0;8;71;TRMUT;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:47";="590782439";TRMUT;ZAUM;107;0;0;58;46;3;1;834;73.401869159;TRMUT;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:47";="590782439";URG;ZAUM;9;0;0;2;7;0;0;120;87.555555556;URG;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/23 11:54:45";="590049565";DOM;ZAUM;29;0;0;2;6;21;2;612;73.862068966;DOM;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:54:45";="590049565";TRMUT;ZAUM;129;0;0;13;11;105;1;2766;76.589147287;TRMUT;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/24 14:38:08";="020000253";DOM;CA;1104;864;862;2;1102;0;1060;61;47.194746377;DOM;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:08";="020000253";DOM;HP;1271;41;40;5;1266;0;1262;50;59.269866247;DOM;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:08";="020000253";DOM;REA;3;0;0;2;0;1;0;54;53;DOM;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:08";="020000253";DOM;SC;3;2;1;1;2;0;0;33;69;DOM;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:08";="020000253";DOM;SI;28;1;1;7;21;0;0;157;65.5;DOM;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:08";="020000253";DOM;UHCD;113;20;10;15;94;4;12;606;64.752212389;DOM;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:08";="020000253";DOM;ZAUM;1094;770;630;57;1032;5;112;3542;57.189970199;DOM;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:08";="020000253";TRMUT;REA;6;0;0;3;0;3;0;151;69.333333333;TRMUT;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:08";="020000253";TRMUT;SC;6;1;1;2;3;1;0;104;67.333333333;TRMUT;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:08";="020000253";TRMUT;UHCD;2;1;1;1;1;0;1;2;67;TRMUT;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:08";="020000253";TRMUT;ZAUM;120;15;8;20;96;4;1;743;65.443744292;TRMUT;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:08";="020000253";URG;CA;3;1;1;0;3;0;3;0;46.666666667;URG;2023.7;X020000253;24AUG23;14:38:01
