"champ";"statut";"annee";"periode";"date du resultat";"ipe";diag;ponder;dms;dur_med;age_moy;age_med;pct_homme;pct_rea;pct_sc;pct_si;sej_rea;moy_rea;med_rea;moy_age;med_age;pct_homme_rea;lib;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:25";="800000036";Total;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:31:19";="600100168";Total;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/18 15:15:12";="020000022";Total;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/22 19:10:08";="590782439";Total;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/23 11:55:05";="590049565";Total;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/24 14:38:47";="020000253";Total;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/25 10:38:00";="620003376";Total;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 12:06:09";="620101337";Total;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 14:47:04";="800000077";Total;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/28 12:10:14";="590782645";Total;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:51:36";="600100572";Total;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 15:44:43";="020004495";Total;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/29 09:24:43";="020000055";Total;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:28:45";="590782652";Total;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:48:57";="590780052";Total;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 10:19:50";="600100648";Total;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 13:05:35";="620000026";Total;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:23:24";="590065223";Total;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X590065223;29AUG23;13:23:00
"mco";"dgf";"2023";"7";"2023/08/29 14:21:30";="620003350";Total;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:23:30";="590000600";Total;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:25:06";="620025346";Total;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:40:39";="590001749";Total;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:46:48";="590781670";Total;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:51:04";="020000261";Total;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 16:14:00";="620100651";Total;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:40:23";="620027839";Total;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X620027839;29AUG23;16:39:44
"mco";"dgf";"2023";"7";"2023/08/30 08:35:56";="590780284";Total;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:43:01";="020000287";Total;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 10:33:04";="590797353";Total;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 11:29:48";="590782421";Total;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 12:12:01";="800000051";Total;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 13:42:21";="800000135";Total;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X800000135;30AUG23;13:41:48
"mco";"dgf";"2023";"7";"2023/08/30 14:11:34";="590782165";Total;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:39:35";="620101360";Total;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:56:10";="590781662";Total;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 15:04:58";="590781621";Total;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X590781621;30AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/30 15:19:40";="590052056";Total;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 16:34:58";="590781795";Total;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X590781795;30AUG23;16:33:32
"mco";"dgf";"2023";"7";"2023/08/31 09:37:09";="620100677";Total;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X620100677;31AUG23;9:36:32
"mco";"dgf";"2023";"7";"2023/08/31 10:37:50";="590781415";Total;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:38:59";="620103440";Total;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X620103440;31AUG23;10:37:57
