"champ";"statut";"annee";"periode";"date du resultat";"ipe";dp;racine;nb_sej;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/25 10:38:08";="620003376";;90Z00;7;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:08";="620003376";N201;11C11;1;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:08";="620003376";N648;09C21;1;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/29 16:14:14";="620100651";Z5188;23C02;2;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/30 15:19:47";="590052056";D171;09C21;1;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 15:19:47";="590052056";D24;09C21;1;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 15:19:47";="590052056";N601;09C21;1;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/31 11:49:21";="590780193";C773;17C07;1;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:49:21";="590780193";S611;09C21;1;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/09/01 12:22:45";="600101984";D24;09C21;1;2023.7;X600101984;01SEP23;12:20:52
"mco";"dgf";"2023";"7";"2023/09/01 18:27:33";="590000188";C73;10C11;1;2023.7;X590000188;01SEP23;18:26:37
"mco";"dgf";"2023";"7";"2023/09/05 09:24:11";="590782637";D24;09C21;1;2023.7;X590782637;05SEP23;9:23:23
"mco";"dgf";"2023";"7";"2023/09/05 17:45:29";="800000044";F640;19C02;1;2023.7;X800000044;05SEP23;17:44:11
