"champ";"statut";"annee";"periode";"date du resultat";"ipe";cretc;COUNT;PERCENT;pctcum;effcum;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:35";="800000036";000000000;405;100;100;405;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:31:25";="600100168";000000000;4820;99.896373057;99.896373057;4820;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:25";="600100168";100000000;1;0.0207253886;99.917098446;4821;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:25";="600100168";200000000;4;0.0829015544;100;4825;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/18 15:15:22";="020000022";000000000;590;99.662162162;99.662162162;590;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:22";="020000022";200000000;2;0.3378378378;100;592;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/22 19:10:15";="590782439";000000000;997;100;100;997;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/23 11:55:11";="590049565";000000000;158;100;100;158;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/24 14:39:01";="020000253";000000000;15794;99.502299502;99.502299502;15794;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:01";="020000253";000000010;10;0.063000063;99.565299565;15804;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:01";="020000253";200000000;66;0.4158004158;99.981099981;15870;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:01";="020000253";999910011;3;0.0189000189;100;15873;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/25 10:38:13";="620003376";000000000;16376;99.798890853;99.798890853;16376;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:13";="620003376";200000000;31;0.1889207142;99.987811567;16407;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:13";="620003376";999910011;2;0.0121884332;100;16409;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 12:06:27";="620101337";000000000;17417;98.417810928;98.417810928;17417;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:27";="620101337";000000001;1;0.0056506753;98.423461604;17418;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:27";="620101337";200000000;214;1.2092445047;99.632706108;17632;2023.7;X620101337;25AUG23;12:05:23
