"champ";"statut";"annee";"periode";"date du resultat";"ipe";nb;var;tri;lib;by;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:37";="800000036";;BBMM_CP;1;E_1   : Différence de code géographique de domicile;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:37";="800000036";;BBMM_hopital;2;E_2   : Différence de lieu de naissance (hors d'un hôpital);;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:37";="800000036";;BBMM_AG;3;E_3   : Différence de terme;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:37";="800000036";;BBMM_nbfoetus;4;E_4   : Différence de nombre de f½tus;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:37";="800000036";;BBMM_vital;5;E_5   : Différence de l'état vital du nouveau-né;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:37";="800000036";;BBMM_IMG;6;E_6   : Différence sur la mention d'IMG;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:37";="800000036";;BBMM_cesarienne;7;E_7   : Différence de mode de naissance par césarienne;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:31:27";="600100168";;BBMM_CP;1;E_1   : Différence de code géographique de domicile;;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:27";="600100168";;BBMM_hopital;2;E_2   : Différence de lieu de naissance (hors d'un hôpital);;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:27";="600100168";;BBMM_AG;3;E_3   : Différence de terme;;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:27";="600100168";;BBMM_nbfoetus;4;E_4   : Différence de nombre de f½tus;;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:27";="600100168";;BBMM_vital;5;E_5   : Différence de l'état vital du nouveau-né;;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:27";="600100168";;BBMM_IMG;6;E_6   : Différence sur la mention d'IMG;;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:27";="600100168";;BBMM_cesarienne;7;E_7   : Différence de mode de naissance par césarienne;;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/18 15:15:24";="020000022";;BBMM_CP;1;E_1   : Différence de code géographique de domicile;;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:24";="020000022";;BBMM_hopital;2;E_2   : Différence de lieu de naissance (hors d'un hôpital);;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:24";="020000022";;BBMM_AG;3;E_3   : Différence de terme;;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:24";="020000022";;BBMM_nbfoetus;4;E_4   : Différence de nombre de f½tus;;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:24";="020000022";;BBMM_vital;5;E_5   : Différence de l'état vital du nouveau-né;;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:24";="020000022";;BBMM_IMG;6;E_6   : Différence sur la mention d'IMG;;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:24";="020000022";;BBMM_cesarienne;7;E_7   : Différence de mode de naissance par césarienne;;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/22 19:10:17";="590782439";;BBMM_CP;1;E_1   : Différence de code géographique de domicile;;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:17";="590782439";;BBMM_hopital;2;E_2   : Différence de lieu de naissance (hors d'un hôpital);;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:17";="590782439";;BBMM_AG;3;E_3   : Différence de terme;;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:17";="590782439";;BBMM_nbfoetus;4;E_4   : Différence de nombre de f½tus;;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:17";="590782439";;BBMM_vital;5;E_5   : Différence de l'état vital du nouveau-né;;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:17";="590782439";;BBMM_IMG;6;E_6   : Différence sur la mention d'IMG;;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:17";="590782439";;BBMM_cesarienne;7;E_7   : Différence de mode de naissance par césarienne;;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/23 11:55:13";="590049565";;BBMM_CP;1;E_1   : Différence de code géographique de domicile;;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:13";="590049565";;BBMM_hopital;2;E_2   : Différence de lieu de naissance (hors d'un hôpital);;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:13";="590049565";;BBMM_AG;3;E_3   : Différence de terme;;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:13";="590049565";;BBMM_nbfoetus;4;E_4   : Différence de nombre de f½tus;;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:13";="590049565";;BBMM_vital;5;E_5   : Différence de l'état vital du nouveau-né;;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:13";="590049565";;BBMM_IMG;6;E_6   : Différence sur la mention d'IMG;;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:13";="590049565";;BBMM_cesarienne;7;E_7   : Différence de mode de naissance par césarienne;;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/24 14:39:04";="020000253";6;BBMM_CP;1;E_1   : Différence de code géographique de domicile;;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:04";="020000253";0;BBMM_hopital;2;E_2   : Différence de lieu de naissance (hors d'un hôpital);;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:04";="020000253";0;BBMM_AG;3;E_3   : Différence de terme;;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:04";="020000253";0;BBMM_nbfoetus;4;E_4   : Différence de nombre de f½tus;;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:04";="020000253";0;BBMM_vital;5;E_5   : Différence de l'état vital du nouveau-né;;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:04";="020000253";0;BBMM_IMG;6;E_6   : Différence sur la mention d'IMG;;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:04";="020000253";2;BBMM_cesarienne;7;E_7   : Différence de mode de naissance par césarienne;;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/25 10:38:16";="620003376";;BBMM_CP;1;E_1   : Différence de code géographique de domicile;;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:16";="620003376";;BBMM_hopital;2;E_2   : Différence de lieu de naissance (hors d'un hôpital);;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:16";="620003376";;BBMM_AG;3;E_3   : Différence de terme;;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:16";="620003376";;BBMM_nbfoetus;4;E_4   : Différence de nombre de f½tus;;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:16";="620003376";;BBMM_vital;5;E_5   : Différence de l'état vital du nouveau-né;;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:16";="620003376";;BBMM_IMG;6;E_6   : Différence sur la mention d'IMG;;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:16";="620003376";;BBMM_cesarienne;7;E_7   : Différence de mode de naissance par césarienne;;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 12:06:31";="620101337";3;BBMM_CP;1;E_1   : Différence de code géographique de domicile;;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:31";="620101337";0;BBMM_hopital;2;E_2   : Différence de lieu de naissance (hors d'un hôpital);;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:31";="620101337";15;BBMM_AG;3;E_3   : Différence de terme;;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:31";="620101337";1;BBMM_nbfoetus;4;E_4   : Différence de nombre de f½tus;;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:31";="620101337";1;BBMM_vital;5;E_5   : Différence de l'état vital du nouveau-né;;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:31";="620101337";0;BBMM_IMG;6;E_6   : Différence sur la mention d'IMG;;2023.7;X620101337;25AUG23;12:05:23
