"champ";"statut";"annee";"periode";"date du resultat";"ipe";eff;lib;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:39";="800000036";0;Nombre de séjours d'IVG;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:39";="800000036";0;Age gestationnel calculé à partir de la date des dernières règles incohérent (>=17 SA);2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:39";="800000036";0;Calcul de l'âge gestionnel impossible;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:39";="800000036";0;Chainage incorrect;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:31:28";="600100168";0;Nombre de séjours d'IVG;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:28";="600100168";0;Age gestationnel calculé à partir de la date des dernières règles incohérent (>=17 SA);2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:28";="600100168";0;Calcul de l'âge gestionnel impossible;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:28";="600100168";0;Chainage incorrect;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/18 15:15:26";="020000022";0;Nombre de séjours d'IVG;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:26";="020000022";0;Age gestationnel calculé à partir de la date des dernières règles incohérent (>=17 SA);2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:26";="020000022";0;Calcul de l'âge gestionnel impossible;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:26";="020000022";0;Chainage incorrect;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/22 19:10:18";="590782439";0;Nombre de séjours d'IVG;2023.7;X590782439;22AUG23;19:09:40
