"champ";"statut";"annee";"periode";"date du resultat";"ipe";diag;nbs1;nbs2;nbs3;nbs4;nb1;nb2;nb3;nb4;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/24 14:39:07";="020000253";Z3710;0;0;1;1;0;0;1;1;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/25 12:06:38";="620101337";Z3710;0;0;6;6;0;0;6;6;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:38";="620101337";Z3711;0;0;6;6;0;0;6;6;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/29 09:29:25";="590782652";Z3710;0;0;1;1;0;0;1;1;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 14:25:20";="620025346";Z3710;0;0;1;1;0;0;1;1;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:20";="620025346";Z3730;0;0;1;1;0;0;1;1;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:51:25";="020000261";Z3710;0;0;5;5;0;0;5;5;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 16:14:28";="620100651";Z3710;0;0;2;2;0;0;2;2;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:14:28";="620100651";Z3711;0;0;3;3;0;0;3;3;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/30 08:43:18";="020000287";Z3710;0;0;3;3;0;0;3;3;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 10:33:32";="590797353";Z3710;0;0;6;6;0;0;6;6;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:33:32";="590797353";Z3711;0;0;1;1;0;0;1;1;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 11:30:17";="590782421";Z3710;0;0;9;9;0;0;9;9;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:30:17";="590782421";Z3711;0;0;2;2;0;0;2;2;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:30:17";="590782421";Z3730;0;0;1;1;0;0;1;1;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 14:11:57";="590782165";Z3710;0;0;2;2;0;0;2;2;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:39:58";="620101360";Z3710;0;0;1;1;0;0;1;1;2023.7;X620101360;30AUG23;14:38:44
