"champ";"statut";"annee";"periode";"date du resultat";"ipe";type_rdt;nb_9610;nb_9619;nb_9620;nb_9621;nb_9622;nb_9623;nb_9625;nb_9631;nb_9632;nb_9633;nb_9639;nb_rap;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/29 14:52:00";="020000261";0;0;0;0;0;0;0;3143;91;0;0;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:00";="020000261";1;0;0;0;0;0;0;33;2;0;0;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:00";="020000261";7;0;0;0;0;0;0;20;4;0;0;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 16:41:00";="620027839";0;0;0;0;729;0;0;19236;252;0;700;0;10;2023.7;X620027839;29AUG23;16:39:44
"mco";"dgf";"2023";"7";"2023/08/31 14:53:52";="600100713";0;0;0;0;0;3539;0;0;3062;0;0;0;0;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:53:52";="600100713";7;0;0;0;0;34;0;0;124;0;0;0;0;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 16:59:50";="620100685";0;0;0;0;0;1480;0;0;166;0;0;0;0;2023.7;X620100685;31AUG23;16:57:50
"mco";"dgf";"2023";"7";"2023/08/31 16:59:50";="620100685";1;0;0;0;0;10;0;0;0;0;0;0;0;2023.7;X620100685;31AUG23;16:57:50
"mco";"dgf";"2023";"7";"2023/08/31 16:59:50";="620100685";7;0;0;0;0;2;0;0;0;0;0;0;0;2023.7;X620100685;31AUG23;16:57:50
"mco";"dgf";"2023";"7";"2023/09/01 16:56:45";="020000063";0;0;0;0;155;0;0;4007;0;0;0;0;0;2023.7;X020000063;01SEP23;16:55:02
"mco";"dgf";"2023";"7";"2023/09/01 16:56:45";="020000063";1;0;0;0;2;0;0;131;0;0;0;0;0;2023.7;X020000063;01SEP23;16:55:02
"mco";"dgf";"2023";"7";"2023/09/01 16:56:45";="020000063";5;0;0;0;0;0;0;6;0;0;0;0;0;2023.7;X020000063;01SEP23;16:55:02
"mco";"dgf";"2023";"7";"2023/09/01 16:56:45";="020000063";7;0;0;0;2;0;0;139;0;0;0;0;0;2023.7;X020000063;01SEP23;16:55:02
"mco";"dgf";"2023";"7";"2023/09/01 18:27:57";="590000188";0;125;0;5;2045;0;0;22624;0;0;896;0;572;2023.7;X590000188;01SEP23;18:26:37
"mco";"dgf";"2023";"7";"2023/09/01 18:27:57";="590000188";1;0;0;0;15;0;0;487;0;0;0;0;38;2023.7;X590000188;01SEP23;18:26:37
"mco";"dgf";"2023";"7";"2023/09/01 18:27:57";="590000188";5;3;0;0;3;0;0;302;0;0;0;0;19;2023.7;X590000188;01SEP23;18:26:37
"mco";"dgf";"2023";"7";"2023/09/01 18:27:57";="590000188";6;0;0;50;0;0;0;18;0;0;0;0;28;2023.7;X590000188;01SEP23;18:26:37
"mco";"dgf";"2023";"7";"2023/09/01 18:27:57";="590000188";7;0;0;0;17;0;0;407;0;0;0;0;19;2023.7;X590000188;01SEP23;18:26:37
"mco";"dgf";"2023";"7";"2023/09/05 17:46:03";="800000044";0;0;0;0;639;7335;0;0;1801;0;0;0;3;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/05 17:46:03";="800000044";1;0;0;0;7;378;0;0;26;0;0;0;0;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/05 17:46:03";="800000044";5;0;0;0;4;37;0;0;5;0;0;0;0;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/05 17:46:03";="800000044";6;0;0;0;4;4;0;0;0;0;0;0;2;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/05 17:46:03";="800000044";7;0;0;29;6;296;0;0;101;0;0;0;0;2023.7;X800000044;05SEP23;17:44:11
