"champ";"statut";"annee";"periode";"date du resultat";"ipe";ghm;ponder;ponder_sdc;nb_sdc;mnt_sdc;mnt_sdc_am;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/30 08:36:25";="590780284";04M122;16;1;1;15345.860224;15238.439202;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/31 11:51:03";="590780193";05C032;135;2;2;31546.18974;31325.366412;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:03";="590780193";05C033;81;1;1;15773.09487;15662.683206;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:03";="590780193";05C053;30;1;1;15773.09487;15662.683206;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:03";="590780193";05C062;71;2;2;30509.216957;30295.652438;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:03";="590780193";05C064;20;3;3;46282.311827;45958.335644;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:03";="590780193";05C083;19;1;1;15773.09487;15662.683206;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:03";="590780193";05C084;7;1;1;14736.122087;14632.969232;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 15:44:16";="590782215";08C464;4;1;1;15773.09487;15662.683206;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 15:44:16";="590782215";26C022;4;1;1;15773.09487;15662.683206;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 16:59:48";="620100685";05C053;9;1;1;14736.122087;14632.969232;2023.7;X620100685;31AUG23;16:57:50
"mco";"dgf";"2023";"7";"2023/09/01 16:56:43";="020000063";05C103;12;1;1;15773.09487;15662.683206;2023.7;X020000063;01SEP23;16:55:02
"mco";"dgf";"2023";"7";"2023/09/05 17:46:01";="800000044";05C024;9;1;1;15773.09487;15662.683206;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/05 17:46:01";="800000044";05C034;22;1;1;15773.09487;15662.683206;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/05 17:46:01";="800000044";05C054;5;1;1;14736.122087;14632.969232;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/05 17:46:01";="800000044";05C084;14;1;1;15773.09487;15662.683206;2023.7;X800000044;05SEP23;17:44:11
