"champ";"statut";"annee";"periode";"date du resultat";"ipe";exotm;natass;tremb;taux;COUNT;PERCENT;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:45";="800000036";0 : Pas d'exonération;10 : Maladie;80;80%;169;41.728395062;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:45";="800000036";0 : Pas d'exonération;10 : Maladie;80;100%;1;0.2469135802;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:45";="800000036";0 : Pas d'exonération;30 : Maternité;100;100%;2;0.4938271605;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:45";="800000036";2 : Soins relatifs à un séjour > 30 jours;10 : Maladie;80;100%;1;0.2469135802;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:45";="800000036";3 : Soins particuliers exonérés;10 : Maladie;100;100%;3;0.7407407407;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:45";="800000036";4 : Soins conformes au protocole ALD;10 : Maladie;100;100%;172;42.469135802;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:45";="800000036";5 : Assuré ou bénéficiaire exonéré (régime exonérant);10 : Maladie;100;100%;49;12.098765432;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:45";="800000036";6 : Réservé SESAM-VITALE pour les régimes spéciaux SNCF;10 : Maladie;100;100%;5;1.2345679012;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:45";="800000036";9 : FSV ou FSI;10 : Maladie;90;80%;2;0.4938271605;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:45";="800000036";Séjours en attente de taux de prise en charge;Séjours en attente de taux de prise en charge;80;80%;1;0.2469135802;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:31:33";="600100168";0 : Pas d'exonération;10 : Maladie;80;80%;1216;25.280665281;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:33";="600100168";0 : Pas d'exonération;10 : Maladie;80;90%;3;0.0623700624;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:33";="600100168";0 : Pas d'exonération;10 : Maladie;80;100%;461;9.5841995842;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:33";="600100168";0 : Pas d'exonération;41 : Accident du;100;100%;6;0.1247401247;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:33";="600100168";2 : Soins relatifs à un séjour > 30 jours;10 : Maladie;80;100%;2;0.0415800416;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:33";="600100168";3 : Soins particuliers exonérés;10 : Maladie;100;100%;1;0.0207900208;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:33";="600100168";4 : Soins conformes au protocole ALD;10 : Maladie;100;100%;2276;47.318087318;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:33";="600100168";5 : Assuré ou bénéficiaire exonéré (régime exonérant);10 : Maladie;100;100%;22;0.4573804574;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:33";="600100168";9 : FSV ou FSI;10 : Maladie;90;100%;2;0.0415800416;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:33";="600100168";C : Soins exonérés en codage CCAM du fait de la nature de l'acte, ou du dépassement du seuil;10 : Maladie;100;100%;821;17.068607069;2023.7;X600100168;11AUG23;8:30:51
