"champ";"statut";"annee";"periode";"date du resultat";"ipe";date_fin;finessg;um;typ_um;mode_hospit;dateeffet;nblits_g;nbsupth;type;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:47";="800000036";;800000184;0001;29;C;01/01/2012;0;0;2;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:31:33";="600100168";;600100168;0005;03A;C;01/01/2011;4;848;1;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:33";="600100168";;600100168;0001;29;C;01/01/2015;4;848;2;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:33";="600100168";;600100168;0002;29;C;01/01/2014;1;212;2;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:33";="600100168";;600100168;0003;29;P;01/01/2011;5;1060;2;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:33";="600100168";;600100168;0004;53;P;01/01/2011;21;4452;2;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:33";="600100168";;600100168;0006;53;C;01/01/2011;47;9964;2;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/18 15:15:34";="020000022";;020000089;0001;29;C;01/01/1900;0;0;2;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:34";="020000022";;020000089;0002;29;C;01/01/1900;0;0;2;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/22 19:10:23";="590782439";;590000691;0001;03A;C;01/01/2008;6;1272;1;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:23";="590782439";;590000691;0002;29;P;11/09/2008;4;848;2;2023.7;X590782439;22AUG23;19:09:40
