"champ";"statut";"annee";"periode";"date du resultat";"ipe";code_p;COUNT;PERCENT;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/30 08:43:26";="020000287";STF;4;100;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 11:30:29";="590782421";NN2;1;9.0909090909;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:30:29";="590782421";STF;10;90.909090909;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 14:40:07";="620101360";STF;3;100;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/31 10:38:31";="590781415";STF;8;100;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:39:37";="620103440";REP;1;16.666666667;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 10:39:37";="620103440";STF;5;83.333333333;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 14:53:51";="600100713";NN2;2;33.333333333;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:53:51";="600100713";STF;4;66.666666667;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/09/01 14:03:33";="590783239";STF;187;100;2023.7;X590783239;01SEP23;14:02:13
"mco";"dgf";"2023";"7";"2023/09/01 16:56:42";="020000063";STF;2;100;2023.7;X020000063;01SEP23;16:55:02
"mco";"dgf";"2023";"7";"2023/09/05 12:10:30";="590781803";REA;1;25;2023.7;X590781803;05SEP23;12:09:07
"mco";"dgf";"2023";"7";"2023/09/05 12:10:30";="590781803";SRC;1;25;2023.7;X590781803;05SEP23;12:09:07
"mco";"dgf";"2023";"7";"2023/09/05 12:10:30";="590781803";STF;2;50;2023.7;X590781803;05SEP23;12:09:07
"mco";"dgf";"2023";"7";"2023/09/05 17:41:40";="590780227";STF;157;100;2023.7;X590780227;05SEP23;17:40:33
