"champ";"statut";"annee";"periode";"date du resultat";"ipe";ghm;nbsej;valobr;valoam;nbseje;valobre;nbsejinc;valobrinc;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01C061;1;5183.800191;5043.5135897;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01C062;5;47101.375677;44144.86793;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01C14J;4;5808.625151;5402.7222889;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01C151;2;2051.543544;1889.1827392;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01C15J;22;23437.922628;20538.471453;1;1025.771772;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01K04J;106;44464.227642;36654.348693;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M041;1;1930.038903;1533.2229045;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M04T;1;711.613897;565.30607978;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M052;1;6259.26327;4972.3587417;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M071;1;371.412209;295.04985883;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M073;1;5763.285138;5482.942142;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M07T;5;3693.224925;3373.9825625;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M081;1;1657.082544;1605.4829662;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M082;5;23085.03455;22103.439308;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M083;3;20564.199123;19000.249729;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M08T;4;2660.595966;2516.5300657;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M091;1;345.542925;274.49929962;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M10T;1;517.567674;513.94470028;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M111;2;5872.401924;5213.6673999;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M112;2;9897.361695;9568.0801631;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M11T;6;3300.004436;2806.8318305;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M121;6;12106.501168;8677.9036891;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M122;9;38320.899404;36332.653108;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M123;3;19216.916327;12148.477163;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M12T;3;2174.89077;1727.7332277;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M131;2;1121.112642;1001.9383682;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M132;1;3407.910207;3164.0548356;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M133;3;17078.92831;16139.375812;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M151;1;2486.037653;2388.6353894;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M152;4;17205.121893;16624.68604;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M162;4;22168.38783;21233.209115;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M163;1;7712.107143;7518.122393;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M16T;2;1791.74941;1555.207039;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M172;1;3556.631481;2825.3880485;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M181;1;2308.447245;1833.8304914;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M182;2;9324.477084;8859.2057444;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M183;1;9626.951178;9319.5625198;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M184;1;17118.512229;13598.946115;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M191;13;15416.023496;11911.238128;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M192;7;27566.812472;24820.369843;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M193;5;30681.815599;28224.639487;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M194;1;9063.437171;8819.9931108;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M201;15;10100.690079;8023.9881988;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M202;4;10817.494269;10257.771809;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M203;2;8189.612886;7552.2855958;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M211;1;1744.914093;1386.1597555;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M213;2;12207.953862;11842.498185;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M221;24;23110.763677;17579.167508;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M222;5;12287.558598;10550.734841;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M22T;4;1836.269564;1458.7325416;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M231;15;14992.120329;11306.884693;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M241;2;2318.00187;2098.6014345;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M24T;9;7386.028749;5745.5988052;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M251;8;11996.012369;10356.479334;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M252;21;66659.041522;61976.730077;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M253;11;79967.809674;74365.932713;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M254;4;145190.35653;126687.73368;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M25T;24;10237.770032;8602.1884263;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M262;2;9835.206541;8723.0942156;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M263;1;7500.187585;7187.6862719;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M271;1;2910.839178;2830.4633038;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M272;5;21200.816119;18566.046844;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M274;1;10266.719268;8155.8817865;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M281;1;1245.327681;989.28830979;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M282;4;13926.252627;13348.768859;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M283;1;5700.952101;5301.0454363;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M301;22;119420.36645;113789.83783;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M302;36;257236.17941;243182.94015;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M303;29;258247.16547;225305.78002;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M304;9;103653.47492;92197.032616;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M30T;10;10539.332961;10131.262226;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M312;2;11273.35252;11054.439052;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M313;2;15768.364014;12526.388373;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M314;1;9644.82199;8877.3082361;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M31T;1;450.775247;358.09585622;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M32Z;27;14072.064132;12536.626345;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M34T;20;12587.577649;10719.027467;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M34Z;40;155649.52606;142403.58029;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";01M35T;11;7050.02354;5954.0903387;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
