"champ";"statut";"annee";"periode";"date du resultat";"ipe";ghm;ghs;nb;mnt_br;mnt_tot_am;taux_app;mtm;mnt_fj;mpf;rac;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:53";="800000036";Total;;;;;;;;;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:31:38";="600100168";Total;;;;;;;;;;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/18 15:15:42";="020000022";Total;;;;;;;;;;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/22 19:10:28";="590782439";Total;;;;;;;;;;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/23 11:55:24";="590049565";Total;;;;;;;;;;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/24 14:39:23";="020000253";01M131;5096;1;560.556321;520.37131901;93.5;212.49;0;0.08;212.57;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:23";="020000253";01M25T;294;1;676.488293;599.9223806;93.24;208.49;26;0.42;234.91;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:23";="020000253";01M31T;5113;1;482.667588;421.56682351;90.45;208.53;11.8;0.15;220.48;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:23";="020000253";03M02T;5167;1;347.948445;306.05344858;88.62;201.34;0;0.14;201.48;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:23";="020000253";03M091;851;1;1033.010472;915.03960104;93.29;715.23;37.8;4.11;757.14;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:23";="020000253";03M09T;855;1;1033.010472;931.06903769;94.18;252.25;30;5.01;287.26;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:23";="020000253";04M03T;5186;2;740.018136;652.95705484;88.86;399.56;0;0.02;399.58;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:23";="020000253";04M051;1142;1;2158.884039;1944.3545498;92.33;727.03;34.8;0.19;762.02;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:23";="020000253";04M10T;1170;1;1806.074849;1605.4604289;91.35;333.7;32.4;0.44;366.54;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:23";="020000253";04M111;1171;1;1000.034802;915.87880776;92.33;269.73;0;0.99;270.72;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:23";="020000253";05M04T;1733;1;1486.260555;1381.6297668;94.81;280.55;15.6;2.03;298.18;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:23";="020000253";05M05T;5294;1;382.257174;340.87794807;89.83;198.44;0;0.1;198.54;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:23";="020000253";05M081;1748;1;900.148674;800.16155058;94.41;568.46;42.6;1.12;612.18;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:23";="020000253";05M08T;5297;1;484.639213;436.62329052;90.74;181.09;0;0.06;181.15;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:23";="020000253";05M13T;5336;1;386.166144;340.04497154;88.68;196.61;0;0.01;196.62;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:23";="020000253";05M17T;1794;1;659.162595;639.64566171;97.74;237.78;0;0.11;237.89;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:23";="020000253";06C141;1978;1;1344.795965;1213.9422231;93.81;334.7;28.4;10.38;373.48;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:23";="020000253";06K04J;2121;1;828.781824;803.01085341;99.48;202.98;0;15.69;218.67;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:23";="020000253";06M04T;2199;1;887.616834;791.33155073;93.02;216.64;26;2.55;245.19;2023.7;X020000253;24AUG23;14:38:01
