"champ";"statut";"annee";"periode";"date du resultat";"ipe";ghm;nb_cont;mnt_br_cont;mnt_am_cont;nb_rh;mnt_br_rh;mnt_am_rh;nb_re;mnt_br_re;mnt_am_re;nb_pl;mnt_br_pl;mnt_am_pl;nb_inter;mnt_br_inter;mnt_am_inter;nb_uhcd;mnt_br_uhcd;mnt_am_uhcd;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:53";="800000036";01M21T;11;5026.131767;4810.0218301;21;9736.841537;9300.6472396;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";01M11T;1;670.22922602;665.53762144;0;0;0;0;0;0;0;0;0;1;347.37496332;344.94333858;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";01M21T;0;0;0;0;0;0;0;0;0;34;15206.74701;13769.440248;0;0;0;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";01M22T;2;1823.5526397;1629.7089941;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";02M07T;1;720.51987382;715.4762347;0;0;0;0;0;0;0;0;0;1;370.7623176;368.16698137;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";04M111;1;911.57585891;724.15586231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";05M11T;0;0;0;0;0;0;0;0;0;0;0;0;1;347.37496332;344.94333858;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";05M15T;0;0;0;0;0;0;0;0;0;1;637.70435887;506.59234269;1;370.7623176;294.5335851;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";05M17T;51;32059.547892;31596.469551;0;0;0;0;0;0;15;9174.69091;9110.4680736;92;28352.21322;28153.747727;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";07M02T;1;759.10661511;603.03429505;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";07M07T;0;0;0;0;0;0;0;0;0;3;2057.6947851;1767.8625406;1;317.31426881;252.07445515;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";07M08T;1;988.13830159;981.22133348;0;0;0;0;0;0;70;72163.394058;64263.15037;0;0;0;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";07M13Z;0;0;0;0;0;0;0;0;0;31;24536.031217;21366.264033;1;370.7623176;294.5335851;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";07M14T;2;1028.1216346;1020.9247831;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";10M02T;1;620.32779223;492.78839815;0;0;0;0;0;0;0;0;0;3;1065.5122442;1058.0536585;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";11M07T;1;1173.1071462;931.91631697;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";11M15T;0;0;0;0;0;0;0;0;0;0;0;0;2;741.52463519;736.33396275;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";11M19T;15;8337.7917401;7503.8596949;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";21M16T;1;711.15842028;706.18031134;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";23M06T;37;21929.062975;20132.162555;0;0;0;0;0;0;0;0;0;4;1034.2918477;873.8167503;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";23M08J;467;326895.04366;323911.91704;0;0;0;0;0;0;16;11026.267279;10544.596969;620;225920.17404;223031.9106;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";23M10T;4;2261.8822839;2131.9474586;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";23M20T;3;2139.5986633;1847.5565858;0;0;0;0;0;0;222;162134.34994;137937.45796;41;14967.381479;13196.910065;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/18 15:15:43";="020000022";03M02T;0;0;0;0;0;0;0;0;0;1;646.273017;641.74910588;0;0;0;0;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:43";="020000022";03M04T;0;0;0;0;0;0;0;0;0;1;1007.381661;1000.3299894;0;0;0;0;0;0;2023.7;X020000022;18AUG23;15:14:25
