"champ";"statut";"annee";"periode";"date du resultat";"ipe";lib;nb;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:52";="800000036";Nb de séjours d'IVG;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:52";="800000036";Nb de séjours transmis avec pb de chaînage;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:52";="800000036";Nb de séjours avec pb de codage des variables bloquantes;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:52";="800000036";Nb de séjours en attente de décision sur les droits du patient;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:52";="800000036";Nb de séjours non facturable à l'AM;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:52";="800000036";Nb de séjours valorisés;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:31:38";="600100168";Nb de séjours d'IVG;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:38";="600100168";Nb de séjours transmis avec pb de chaînage;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:38";="600100168";Nb de séjours avec pb de codage des variables bloquantes;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:38";="600100168";Nb de séjours en attente de décision sur les droits du patient;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:38";="600100168";Nb de séjours non facturable à l'AM;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:38";="600100168";Nb de séjours valorisés;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/18 15:15:41";="020000022";Nb de séjours d'IVG;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:41";="020000022";Nb de séjours transmis avec pb de chaînage;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:41";="020000022";Nb de séjours avec pb de codage des variables bloquantes;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:41";="020000022";Nb de séjours en attente de décision sur les droits du patient;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:41";="020000022";Nb de séjours non facturable à l'AM;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:41";="020000022";Nb de séjours valorisés;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/22 19:10:27";="590782439";Nb de séjours d'IVG;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:27";="590782439";Nb de séjours transmis avec pb de chaînage;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:27";="590782439";Nb de séjours avec pb de codage des variables bloquantes;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:27";="590782439";Nb de séjours en attente de décision sur les droits du patient;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:27";="590782439";Nb de séjours non facturable à l'AM;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:27";="590782439";Nb de séjours valorisés;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/23 11:55:23";="590049565";Nb de séjours d'IVG;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:23";="590049565";Nb de séjours transmis avec pb de chaînage;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:23";="590049565";Nb de séjours avec pb de codage des variables bloquantes;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:23";="590049565";Nb de séjours en attente de décision sur les droits du patient;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:23";="590049565";Nb de séjours non facturable à l'AM;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:23";="590049565";Nb de séjours valorisés;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/24 14:39:22";="020000253";Nb de séjours d'IVG;202;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:22";="020000253";Nb de séjours transmis avec pb de chaînage;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:22";="020000253";Nb de séjours avec pb de codage des variables bloquantes;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:22";="020000253";Nb de séjours en attente de décision sur les droits du patient;0;2023.7;X020000253;24AUG23;14:38:01
