"champ";"statut";"annee";"periode";"date du resultat";"ipe";code13;code;indication;code1;nb;nbok;montant;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/11 08:31:40";="600100168";3400890010559;9001055;CDERU02;9001055;3;3;4900.8;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:40";="600100168";3400890019965;9001996;CENFO01;9001996;26;26;26837.989;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:40";="600100168";3400890022224;9002222;CENFO01;9002222;2;2;1376.3;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:40";="600100168";3400894197232;9419723;CPEMB03;9419723;2;2;5294.08;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:40";="600100168";3400894405450;9440545;CDURV04;9440545;2;2;4020.46;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:40";="600100168";3400894405511;9440551;CDURV04;9440551;4;4;1929.8;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/18 15:15:44";="020000022";3400890014588;9001458;NIDEB03;9001458;3;3;1.5;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:44";="020000022";3400894162513;9416251;NXXXX02;9416251;6;6;1378.14;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/25 12:07:07";="620101337";3400890010559;9001055;CDERU01;9001055;45;45;73512;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:07";="620101337";3400890010559;9001055;CDERU02;9001055;8;8;13068.8;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:07";="620101337";3400893825983;9382598;NARTE02;9382598;20;20;2961;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:07";="620101337";3400894197232;9419723;CPEMB02;9419723;26;26;68823.04;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:07";="620101337";3400894197232;9419723;CPEMB04;9419723;24;24;63528.96;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:07";="620101337";3400894389798;9438979;CNIVO04;9438979;2;2;4962.36;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:07";="620101337";3400894405450;9440545;CDURV04;9440545;45;45;90460.35;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:07";="620101337";3400894405450;9440545;CDURV05;9440545;24;24;48245.52;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:07";="620101337";3400894405511;9440551;CDURV04;9440551;13;13;6271.849;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/29 09:29:48";="590782652";3400890010559;9001055;CDERU01;9001055;15;15;24504;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:29:48";="590782652";3400890010559;9001055;CDERU02;9001055;5;5;8168;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:29:48";="590782652";3400894197232;9419723;CPEMB01;9419723;16;16;42022.662;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:29:48";="590782652";3400894197232;9419723;CPEMB03;9419723;32;30;79081.222;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:29:48";="590782652";3400894197232;9419723;CPEMB05;9419723;14;14;36398.604;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:29:48";="590782652";3400894405450;9440545;CDURV05;9440545;33;33;67341.36;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 14:47:14";="590781670";3400894078036;9407803;NXXXX02;9407803;138;138;427.725;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:52:11";="020000261";3400890010559;9001055;CDERU02;9001055;25;25;40840;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:11";="020000261";3400890010559;9001055;CDERU04;9001055;73;73;119252.8;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:11";="020000261";3400890019958;9001995;CSACI02;9001995;9;9;9878.175;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:11";="020000261";3400890025737;9002573;CTEBE01;9002573;20;20;248620;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:11";="020000261";3400894197232;9419723;CPEMB01;9419723;16;16;42352.64;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:11";="020000261";3400894197232;9419723;CPEMB02;9419723;24;22;58234.88;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:11";="020000261";3400894197232;9419723;CPEMB04;9419723;16;16;42352.64;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:11";="020000261";3400894197232;9419723;CPEMB05;9419723;4;4;10588.16;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:11";="020000261";3400894389798;9438979;CNIVO04;9438979;6;6;14887.062;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:11";="020000261";3400894405450;9440545;CDURV04;9440545;9;9;18092.04;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 16:14:50";="620100651";3400890003230;9000323;COSIL01;9000323;93;93;2459.28;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:14:50";="620100651";3400890019958;9001995;CSACI01;9001995;70;67;73537.72;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:14:50";="620100651";3400893133446;9313344;NTHIO04;9313344;18;18;1065.9;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:14:50";="620100651";3400894078036;9407803;CRIFA01;9407803;950;950;5092;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:14:50";="620100651";3400894197232;9419723;CPEMB02;9419723;42;30;79411.2;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:14:50";="620100651";3400894197232;9419723;CPEMB04;9419723;24;24;63528.96;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:14:50";="620100651";3400894389798;9438979;CNIVO04;9438979;4;4;9924.696;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:14:50";="620100651";3400894405450;9440545;CDURV04;9440545;204;177;355810.71;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:14:50";="620100651";3400894405450;9440545;CDURV05;9440545;66;57;114583.11;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/30 08:36:35";="590780284";3400890003247;9000324;NXXXX02;9000324;60;60;6347.56;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:36:35";="590780284";3400893880234;9388023;CRUXO01;9388023;8;8;218.211;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:36:35";="590780284";3400894078036;9407803;NXXXX02;9407803;112;112;347.143;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:43:38";="020000287";3400890010559;9001055;CDERU01;9001055;4;4;6532;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:43:38";="020000287";3400890010559;9001055;CDERU04;9001055;16;16;26128;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:43:38";="020000287";3400894405450;9440545;CDURV04;9440545;41;41;82419.43;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 10:34:04";="590797353";3400890002745;9000274;NXXXX01;9000274;180;180;121.294;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:04";="590797353";3400890007801;9000780;NGLOF01;9000780;7;7;0;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:04";="590797353";3400890010559;9001055;CDERU01;9001055;4;4;6534.4;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:04";="590797353";3400890010559;9001055;CDERU04;9001055;10;10;16336;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:04";="590797353";3400890015998;9001599;CTAFA01;9001599;180.6;180.6;144196.458;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:04";="590797353";3400890019965;9001996;CENFO01;9001996;47;47;48514.857;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:04";="590797353";3400890026536;9002653;CTECL01;9002653;6;6;5821.11;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:04";="590797353";3400890026543;9002654;CTECL01;9002654;96.588;96.588;477909.6;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:04";="590797353";3400893815649;9381564;CTHYM01;9381564;108;108;61970.616;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:04";="590797353";3400893825983;9382598;NXXXX01;9382598;18;9;1332.405;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:04";="590797353";3400893869529;9386952;NALEM02;9386952;15;15;0;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:04";="590797353";3400894197232;9419723;CPEMB01;9419723;16;16;42352.72;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:04";="590797353";3400894197232;9419723;CPEMB02;9419723;36;36;93973.668;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:04";="590797353";3400894197232;9419723;CPEMB04;9419723;12;12;31764.54;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:04";="590797353";3400894197232;9419723;CPEMB05;9419723;4;4;10588.18;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:04";="590797353";3400894389798;9438979;CNIVO04;9438979;3;3;7443.54;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:04";="590797353";3400894405450;9440545;CDURV05;9440545;36;36;72368.28;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:04";="590797353";3400894510239;9451023;NXXXX02;9451023;2;2;1188.32;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:04";="590797353";3400894554462;9455446;NXXXX01;9455446;3;3;759.621;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:04";="590797353";3400894554752;9455475;CISAT01;9455475;8;8;25124.768;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 11:30:45";="590782421";3400890010559;9001055;CDERU01;9001055;10.8;10.8;17642.88;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:30:45";="590782421";3400890015998;9001599;CTAFA01;9001599;16;16;9426.404;2023.7;X590782421;30AUG23;11:28:50
