"champ";"statut";"annee";"periode";"date du resultat";"ipe";code13;code;indication;code1;annee;periode;montant;nb;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/25 12:07:07";="620101337";3400894197232;9419723;I000630;9419723;2023;07;10588.16;4;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/29 14:23:52";="590000600";3400890009249;9000924;CEMPA01;9000924;2023;02;5.212;4;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:52";="590000600";3400890009249;9000924;CEMPA01;9000924;2023;03;2.606;2;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:47:14";="590781670";3400894196280;9419628;NXXXX00;9419628;2023;05;215.84;4;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:47:14";="590781670";3400894196280;9419628;NXXXX00;9419628;2023;06;53.96;1;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:52:12";="020000261";3400894389798;9438979;CNIVO04;9438979;2023;04;4962.354;2;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:12";="020000261";3400894389798;9438979;CNIVO04;9438979;2023;05;4962.354;2;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:12";="020000261";3400890025737;9002573;CETBE01;9002573;2023;06;37293;3;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:12";="020000261";3400894389798;9438979;CNIVO04;9438979;2023;06;2481.177;1;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:12";="020000261";3400890025737;9002573;CETBE01;9002573;2023;07;49724;4;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/30 10:34:04";="590797353";3400890015998;9001599;CTAFA01;9001599;2023;07;7984.3;35;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 11:30:45";="590782421";3400890025768;9002576;CTECL01;9002576;2023;01;1940.36;2;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:30:45";="590782421";3400890025775;9002577;CTECL01;9002577;2023;01;4947.92;1;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:30:45";="590782421";3400890025768;9002576;CTECL01;9002576;2023;02;1940.36;2;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:30:45";="590782421";3400890025775;9002577;CTECL01;9002577;2023;02;24739.6;5;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 14:40:20";="620101360";3400894197232;9419723;I999999;9419723;2023;07;9928.2;4;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/31 10:39:50";="620103440";3400890019958;9001995;NSACI03;9001995;2023;07;5487.85;5;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 11:51:28";="590780193";3400893587898;9358789;NXXXX00;9358789;2023;01;23.55;0.066;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:28";="590780193";3400893810507;9381050;NXXXX00;9381050;2023;01;1.134;0.009;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:28";="590780193";3400893815649;9381564;NXXXX00;9381564;2023;01;25148.622;44;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:28";="590780193";3400894061007;9406100;NXXXX00;9406100;2023;01;3866.264;4;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:28";="590780193";3400894078036;9407803;NXXXX00;9407803;2023;01;47.646;9;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:28";="590780193";3400894287223;9428722;NXXXX00;9428722;2023;01;1183.68;2;2023.7;X590780193;31AUG23;11:45:29
