"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;code1;nombre;nb_nonval;nombre_02;nb_nonvalhp;nb_val;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/11 08:31:40";="600100168";3123387;3123387;2;0;0;0;2;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:40";="600100168";3127280;3127280;1;0;0;0;1;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:40";="600100168";3128723;3128723;2;0;0;0;2;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:40";="600100168";3146773;3146773;1;0;0;0;1;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:40";="600100168";3153276;3153276;2;0;0;0;2;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:40";="600100168";3162298;3162298;2;0;0;0;2;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:40";="600100168";3177532;3177532;1;0;0;0;1;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:40";="600100168";3309761;3309761;2;0;0;0;2;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:40";="600100168";3329775;3329775;1;0;0;0;1;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:40";="600100168";3363447;3363447;1;0;0;0;1;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:40";="600100168";8131859;8131859;1;0;0;0;1;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:40";="600100168";8133746;8133746;1;0;0;0;1;2023.7;X600100168;11AUG23;8:30:51
