"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;code1;pu;tarif_lpp;nbligne;nb;montant;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/30 14:56:46";="590781662";8137371;8137371;70.23;747;1;1;70.23;2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 15:20:14";="590052056";8132310;8132310;1.06;211;1;1;1.06;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/31 11:51:29";="590780193";8135194;8135194;16.97;783;1;12;203.685;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/09/01 09:19:46";="600100721";8134013;8134013;3.17;987;1;1;3.17;2023.7;X600100721;01SEP23;9:18:13
"mco";"dgf";"2023";"7";"2023/09/01 09:19:46";="600100721";8146022;8146022;3.17;540;1;1;3.17;2023.7;X600100721;01SEP23;9:18:13
"mco";"dgf";"2023";"7";"2023/09/01 14:03:46";="590783239";8120979;8120979;496.22;32;1;1;496.22;2023.7;X590783239;01SEP23;14:02:13
"mco";"dgf";"2023";"7";"2023/09/01 14:03:46";="590783239";8120979;8120979;497.01;32;1;1;497.01;2023.7;X590783239;01SEP23;14:02:13
"mco";"dgf";"2023";"7";"2023/09/01 14:03:46";="590783239";8149486;8149486;51.13;1,032;1;1;51.134;2023.7;X590783239;01SEP23;14:02:13
"mco";"dgf";"2023";"7";"2023/09/05 17:46:20";="800000044";3251085;3251085;14.24;14,242;1;1;14.24;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/05 17:46:20";="800000044";8119999;8119999;44.63;1,209;2;2;89.26;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/07 20:02:04";="590781902";8115346;8115346;243.21;2,916;6;6;1459.26;2023.7;X590781902;07SEP23;20:00:41
