"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;code1;dep23;dep23_aut;nb23;ecart;dep23_val;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/25 12:07:12";="620101337";8131291;8131291;1209;1209;1;0;1209;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:12";="620101337";8131339;8131339;685.98;685.98;1;0;685.98;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:12";="620101337";8131345;8131345;124.78;124.78;1;0;124.78;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:12";="620101337";8131397;8131397;337.14;337.14;1;0;337.14;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:12";="620101337";8178447;8178447;44.63;44.63;1;0;44.63;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/30 08:36:39";="590780284";3101820;3101820;450;450;1;0;450;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:36:39";="590780284";3119300;3119300;450;450;1;0;450;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 11:30:51";="590782421";3143131;3143131;83.06;83.06;1;0;83.06;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:30:51";="590782421";3167812;3167812;513.21;540.22;1;13.505;526.715;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:30:51";="590782421";8137158;8137158;167.89;176.73;1;4.42;172.31;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:30:51";="590782421";8137388;8137388;584.56;615.33;1;15.385;599.945;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:30:51";="590782421";8178447;8178447;62.48;89.26;2;13.39;75.87;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/31 11:51:33";="590780193";8113264;8113264;869.41;878.11;1;4.35;873.76;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:33";="590780193";8125280;8125280;160.224;161.83;1;0.803;161.027;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:33";="590780193";8142403;8142403;103.25;104.28;1;0.515;103.765;2023.7;X590780193;31AUG23;11:45:29
