"champ";"statut";"annee";"periode";"date du resultat";"ipe";ghm;ghs;eff;nbj;nb0j;mnt_ghs_am;mnt_exinf_am;mnt_ghs50_am;mnt_exh_am;mnt_9615_am;mnt_rdth_am;mnt_rea_am;mnt_rep_am;mnt_si_am;mnt_sc_am;mnt_suppdia_am;mnt_nn1_am;mnt_nn2_am;mnt_nn3_am;mnt_caisson_am;mnt_ant_am;mnt_rap_am;mnt_fjs_ame;mnt_tjp20_ame;mnt_sdc_am;mnt_ctc_am;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/11 08:31:41";="600100168";06C12J;1973;2;0;2;2753.1254728;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:41";="600100168";06C241;2015;1;2;0;2345.7228161;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:41";="600100168";12C08J;4540;1;0;1;696.91564496;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:41";="600100168";23M08J;7909;1;0;1;296.60985408;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:41";="600100168";23M08J;7969;1;0;1;566.96083099;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/22 19:10:30";="590782439";06M031;2129;1;3;0;1322.5731128;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;453.612;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/24 14:39:26";="020000253";03C16J;673;1;0;1;1688.4184512;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;257.784;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:26";="020000253";03M052;835;1;4;0;1990.607892;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;1205.088;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:26";="020000253";04M03T;5186;1;0;1;276.4469144;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;228.56;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:26";="020000253";06M06T;5375;1;1;0;323.4943296;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;232.454;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:26";="020000253";07C132;2348;1;5;0;3998.1185712;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;1506.36;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:26";="020000253";07C141;2351;1;1;0;2116.1840544;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;301.272;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:26";="020000253";08C341;2817;1;1;0;2589.0451392;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;301.272;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:26";="020000253";08M102;3064;1;7;0;2814.65886;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;1627.178;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:26";="020000253";08M10T;5530;1;0;1;329.796792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;232.454;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:26";="020000253";08M28T;5543;2;1;1;599.1906552;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;461.014;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:26";="020000253";10M193;3976;1;4;0;3707.2211304;-414.4901376;0;0;0;0;0;0;0;0;0;1081.5321664;0;0;0;0;0;0;934.24;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:26";="020000253";12C061;4526;1;2;0;1245.9711576;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;602.544;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:26";="020000253";13K02Z;5205;1;0;1;1120.7959152;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;257.784;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:26";="020000253";14C08A;5326;1;2;0;2525.2625792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;511.748;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:26";="020000253";14Z14A;5495;2;9;0;3805.8700984;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;1276.806;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:26";="020000253";15M02Z;5900;1;1;0;444.8014912;0;0;0;0;0;0;0;0;0;0;270.3830416;0;0;0;0;0;0;232.56;0;0;2023.7;X020000253;24AUG23;14:38:01
