"champ";"statut";"annee";"periode";"date du resultat";"ipe";eff;lib;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:55";="800000036";;Nombre de séjours/séance en SU;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:55";="800000036";;Nombre de séjours/séances en SU non valorisés (CM90, ghs 9999, PIE);2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:55";="800000036";;Nombre de séjours/séances en SU valorisés;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:31:41";="600100168";;Nombre de séjours/séance en SU;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:41";="600100168";;Nombre de séjours/séances en SU non valorisés (CM90, ghs 9999, PIE);2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:41";="600100168";;Nombre de séjours/séances en SU valorisés;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/18 15:15:47";="020000022";;Nombre de séjours/séance en SU;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:47";="020000022";;Nombre de séjours/séances en SU non valorisés (CM90, ghs 9999, PIE);2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:47";="020000022";;Nombre de séjours/séances en SU valorisés;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/22 19:10:31";="590782439";;Nombre de séjours/séance en SU;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:31";="590782439";;Nombre de séjours/séances en SU non valorisés (CM90, ghs 9999, PIE);2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:31";="590782439";;Nombre de séjours/séances en SU valorisés;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/23 11:55:26";="590049565";;Nombre de séjours/séance en SU;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:26";="590049565";;Nombre de séjours/séances en SU non valorisés (CM90, ghs 9999, PIE);2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:26";="590049565";;Nombre de séjours/séances en SU valorisés;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/24 14:39:27";="020000253";10;Nombre de séjours/séance en SU;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:27";="020000253";;Nombre de séjours/séances en SU non valorisés (CM90, ghs 9999, PIE);2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:27";="020000253";10;Nombre de séjours/séances en SU valorisés;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/25 10:38:33";="620003376";;Nombre de séjours/séance en SU;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:33";="620003376";;Nombre de séjours/séances en SU non valorisés (CM90, ghs 9999, PIE);2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:33";="620003376";;Nombre de séjours/séances en SU valorisés;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 12:07:10";="620101337";129;Nombre de séjours/séance en SU;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:10";="620101337";2;Nombre de séjours/séances en SU non valorisés (CM90, ghs 9999, PIE);2023.7;X620101337;25AUG23;12:05:23
