"champ";"statut";"annee";"periode";"date du resultat";"ipe";ghm;ghs;eff;nbj;nb0j;mnt_ghs_am;mnt_exinf_am;mnt_ghs50_am;mnt_exh_am;mnt_9615_am;mnt_rdth_am;mnt_rea_am;mnt_rep_am;mnt_si_am;mnt_sc_am;mnt_suppdia_am;mnt_nn1_am;mnt_nn2_am;mnt_nn3_am;mnt_caisson_am;mnt_ant_am;mnt_rap_am;mnt_sdc_am;mnt_ctc_am;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/24 14:39:27";="020000253";05M15T;5338;1;0;1;301.3234536;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:27";="020000253";07M02T;5409;1;1;0;336.0671808;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:27";="020000253";11M04T;5630;2;0;2;574.361628;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:27";="020000253";13M04T;5219;1;1;0;686.7519048;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:27";="020000253";14M03B;5478;1;10;0;1954.7977176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:27";="020000253";14Z13C;5492;1;13;0;2744.8196328;0;0;0;0;0;0;0;0;0;0;0;0;0;0;643.1229744;0;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:27";="020000253";14Z14A;5495;1;5;0;1837.9141864;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:27";="020000253";18M04T;5767;1;1;0;307.4735664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:27";="020000253";28Z17Z;9616;1;1;0;298.0589736;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/25 12:07:10";="620101337";01M191;264;1;5;0;1081.8746016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:10";="620101337";01M191;5101;1;1;0;582.4806312;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:10";="620101337";01M192;265;1;4;0;2922.0977952;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:10";="620101337";01M201;5102;1;1;0;332.4188088;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:10";="620101337";01M221;5104;3;3;0;1157.625164;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
