"champ";"statut";"annee";"periode";"date du resultat";"ipe";finess;type;moiss;moist;mnt_am;mnt3;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:56";="800000036";800000036;11;1;1;201310.73247;201310.73247;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:56";="800000036";800000036;11;1;2;201914.00071;603.26824222;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:56";="800000036";800000036;11;1;3;201914.00071;2.910383E-11;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:56";="800000036";800000036;11;1;4;201914.00071;2.910383E-11;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:56";="800000036";800000036;11;1;5;201914.00071;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:56";="800000036";800000036;11;1;6;201914.00071;-8.73115E-11;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:56";="800000036";800000036;11;1;7;201914.00071;2.910383E-11;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:56";="800000036";800000036;11;2;1;0;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:56";="800000036";800000036;11;2;2;145254.37142;145254.37142;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:56";="800000036";800000036;11;2;3;145254.37142;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:56";="800000036";800000036;11;2;4;145254.37142;2.910383E-11;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:56";="800000036";800000036;11;2;5;145254.37142;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:56";="800000036";800000036;11;2;6;145254.37142;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:56";="800000036";800000036;11;2;7;145254.37142;5.820766E-11;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:56";="800000036";800000036;11;3;1;0;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:56";="800000036";800000036;11;3;2;0;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:56";="800000036";800000036;11;3;3;188884.14155;188884.14155;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:56";="800000036";800000036;11;3;4;194601.63857;5717.497023;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:56";="800000036";800000036;11;3;5;194601.63857;-5.82077E-11;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:56";="800000036";800000036;11;3;6;194601.63857;-2.91038E-11;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:56";="800000036";800000036;11;3;7;194601.63857;1.455192E-10;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:56";="800000036";800000036;11;4;1;0;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:56";="800000036";800000036;11;4;2;0;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:56";="800000036";800000036;11;4;3;0;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:56";="800000036";800000036;11;4;4;140003.36416;140003.36416;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:56";="800000036";800000036;11;4;5;140003.36416;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:56";="800000036";800000036;11;4;6;140003.36416;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:56";="800000036";800000036;11;4;7;140003.36416;2.910383E-11;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:56";="800000036";800000036;11;5;1;0;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:56";="800000036";800000036;11;5;2;0;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:56";="800000036";800000036;11;5;3;0;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:56";="800000036";800000036;11;5;4;0;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:56";="800000036";800000036;11;5;5;196365.95138;196365.95138;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:56";="800000036";800000036;11;5;6;196365.95138;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:56";="800000036";800000036;11;5;7;196365.95138;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:56";="800000036";800000036;11;6;1;0;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:56";="800000036";800000036;11;6;2;0;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:56";="800000036";800000036;11;6;3;0;;2023.7;X800000036;08AUG23;14:40:54
