"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;nb;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/28 14:31:03";="020000063";9014;1;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:03";="020000063";12003;11;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:03";="020000063";12060;17;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:03";="020000063";12116;1;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:03";="020000063";20036;3;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:03";="020000063";99003;101;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:03";="020000063";99042;18;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:03";="020000063";99043;19;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:03";="020000063";200001;2;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:03";="020000063";999026;85;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/09/04 16:02:44";="620103432";5257;1;2023.7;X620103432;04SEP23;16:02:33
