"champ";"statut";"annee";"periode";"date du resultat";"ipe";nb;lib;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/09 14:38:41";="600100168";0;Factures avec APE sans code PI,PME, PH8;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:41";="600100168";0;Factures avec code PII ou PME sans APE;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:41";="600100168";0;Factures avec PH8 sans APE;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:41";="600100168";0;Factures avec code PII ou PME  et code PH8;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/10 13:22:51";="590780227";0;Factures avec APE sans code PI,PME, PH8;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:51";="590780227";0;Factures avec code PII ou PME sans APE;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:51";="590780227";0;Factures avec PH8 sans APE;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:51";="590780227";0;Factures avec code PII ou PME  et code PH8;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/18 15:14:42";="020000022";0;Factures avec APE sans code PI,PME, PH8;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:42";="020000022";0;Factures avec code PII ou PME sans APE;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:42";="020000022";0;Factures avec PH8 sans APE;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:42";="020000022";0;Factures avec code PII ou PME  et code PH8;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/21 15:04:24";="600100572";0;Factures avec APE sans code PI,PME, PH8;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/21 15:04:24";="600100572";0;Factures avec code PII ou PME sans APE;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/21 15:04:24";="600100572";0;Factures avec PH8 sans APE;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/21 15:04:24";="600100572";0;Factures avec code PII ou PME  et code PH8;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/22 17:50:49";="590782439";0;Factures avec APE sans code PI,PME, PH8;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/22 17:50:49";="590782439";0;Factures avec code PII ou PME sans APE;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/22 17:50:49";="590782439";0;Factures avec PH8 sans APE;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/22 17:50:49";="590782439";0;Factures avec code PII ou PME  et code PH8;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/24 09:38:55";="590781605";0;Factures avec APE sans code PI,PME, PH8;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:55";="590781605";0;Factures avec code PII ou PME sans APE;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:55";="590781605";0;Factures avec PH8 sans APE;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:55";="590781605";0;Factures avec code PII ou PME  et code PH8;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 12:29:46";="020000253";0;Factures avec APE sans code PI,PME, PH8;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:46";="020000253";0;Factures avec code PII ou PME sans APE;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:46";="020000253";0;Factures avec PH8 sans APE;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:46";="020000253";0;Factures avec code PII ou PME  et code PH8;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/25 10:04:25";="620003376";0;Factures avec APE sans code PI,PME, PH8;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/25 10:04:25";="620003376";1;Factures avec code PII ou PME sans APE;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/25 10:04:25";="620003376";0;Factures avec PH8 sans APE;2023.7;X620003376;25AUG23;10:04:13
