"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;nombre;mnt_br;mnt_remb;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/10 13:22:49";="590780227";MCG;3;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:49";="590780227";MCS;219;1075;872;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/24 09:38:54";="590781605";MCS;1;5;5;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 12:29:44";="020000253";MCS;2;10;10;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/28 12:52:15";="590782421";MCG;4;20;20;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:15";="590782421";MCS;1;5;5;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 14:31:07";="020000063";MCS;1;5;4;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/29 09:49:29";="590782652";MCS;6;30;30;2023.7;X590782652;29AUG23;9:49:22
"mco";"dgf";"2023";"7";"2023/08/29 11:59:16";="020000261";MCS;52;245;216;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 16:28:00";="620100651";MCS;4;20;18;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/30 08:07:07";="600100713";MCS;341;1705;1705;2023.7;X600100713;30AUG23;8:06:51
"mco";"dgf";"2023";"7";"2023/08/30 10:39:20";="590797353";MCS;7;35;25;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 14:08:13";="620101360";MCS;1;5;5;2023.7;X620101360;30AUG23;14:08:01
"mco";"dgf";"2023";"7";"2023/08/30 14:17:37";="590782165";MCS;115;560;463;2023.7;X590782165;30AUG23;14:17:25
"mco";"dgf";"2023";"7";"2023/08/30 15:54:13";="620100685";MCS;9;45;45;2023.7;X620100685;30AUG23;15:53:57
"mco";"dgf";"2023";"7";"2023/08/31 10:50:06";="590781415";MCS;50;250;200;2023.7;X590781415;31AUG23;10:49:44
"mco";"dgf";"2023";"7";"2023/08/31 11:54:07";="590781621";MCS;1;5;4;2023.7;X590781621;31AUG23;11:54:00
"mco";"dgf";"2023";"7";"2023/08/31 12:34:08";="020004404";MCS;61;305;305;2023.7;X020004404;31AUG23;12:33:56
"mco";"dgf";"2023";"7";"2023/09/01 13:04:20";="590782637";MCS;30;145;120;2023.7;X590782637;01SEP23;13:04:07
"mco";"dgf";"2023";"7";"2023/09/01 13:09:14";="620100057";MCG;3;15;12;2023.7;X620100057;01SEP23;13:09:00
"mco";"dgf";"2023";"7";"2023/09/01 13:09:14";="620100057";MCS;4;20;18;2023.7;X620100057;01SEP23;13:09:00
"mco";"dgf";"2023";"7";"2023/09/04 11:00:09";="800000044";MCG;1;5;5;2023.7;X800000044;04SEP23;10:59:15
"mco";"dgf";"2023";"7";"2023/09/04 16:02:50";="620103432";MCS;2;10;8;2023.7;X620103432;04SEP23;16:02:33
"mco";"dgf";"2023";"7";"2023/09/07 20:06:53";="590781902";MCS;8;40;40;2023.7;X590781902;07SEP23;20:06:41
