"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;PU;nb;mnt_br;mnt_remb;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/10 13:22:49";="590780227";APC F;55;12;888.72;866.5;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:49";="590780227";APC N;55;13;1041.95;877.57;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:49";="590780227";FPL;19.61;22;431.42;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:49";="590780227";FPM;8.49;8;67.92;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:49";="590780227";FPU;19.61;15845;310720.45;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:49";="590780227";FPV;8.49;3342;28373.58;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:49";="590780227";MPC N;0;1;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:49";="590780227";PA;150;11;1650;1155;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/18 15:14:39";="020000022";CPY;30;16;480;0;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:39";="020000022";CPY;35;6;210;0;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:39";="020000022";ERI;0.06;4;0.24;0.24;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:39";="020000022";ERI;2.36;1;2.36;2.36;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:39";="020000022";ERI;2.8;2;5.6;5.6;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:39";="020000022";ERI;5.6;1;5.6;5.6;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:39";="020000022";ERI;49.2;4;196.8;196.8;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:39";="020000022";ERI;129.8;1;129.8;129.8;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:39";="020000022";ERI;132.16;2;264.32;264.32;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:39";="020000022";ERI;248.12;6;1488.72;1488.72;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:39";="020000022";ERI;337.12;1;337.12;337.12;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:39";="020000022";ERI;498.96;1;498.96;498.96;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:39";="020000022";MAR;22;32;704;704;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:39";="020000022";PHD;3.04;18;6.08;54.72;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:39";="020000022";PHH;0.15;168;0.6;91.2;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:39";="020000022";PHH;0.25;147;1.75;190.75;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:39";="020000022";PHH;0.86;410;3.44;440.6;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:39";="020000022";PHH;1.29;16;5.16;20.64;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:39";="020000022";PHH;1.32;8;2.64;10.56;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:39";="020000022";PHH;4.77;224;14.31;1134.48;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:39";="020000022";PHH;5.36;336;32.16;1932.96;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:39";="020000022";PHH;6.35;448;44.45;2998.8;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:39";="020000022";PHH;9.14;30;9.14;296.2;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:39";="020000022";PHH;20.42;24;122.52;622.08;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:39";="020000022";PHH;244.43;56;1711.01;13842.08;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:39";="020000022";PHH;411.91;1;411.91;433.91;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:39";="020000022";PHH;683.99;3;2051.97;2117.97;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:39";="020000022";PHH;1394.46;30;4183.38;41899.8;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:39";="020000022";PHI;0.5;1050;2;525;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:39";="020000022";PHI;0.55;150;0.55;82.5;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:39";="020000022";PHI;0.56;450;1.68;252;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:39";="020000022";PHI;7.66;168;45.96;1286.88;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:39";="020000022";PHI;61.26;7;428.82;428.82;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:39";="020000022";PHI;73.51;7;514.57;514.57;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:39";="020000022";PHI;1066.95;4;2133.9;4267.8;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:39";="020000022";PHS;0.74;56;0.74;63.44;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:39";="020000022";PHS;3.68;86;22.08;448.48;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:39";="020000022";PHS;19.35;960;77.4;18664;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:39";="020000022";PHS;27.57;4;27.57;132.28;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:39";="020000022";PHS;74.64;74;373.2;5633.36;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:39";="020000022";PHS;112.32;8;449.28;986.56;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:39";="020000022";PHS;165.86;15;165.86;2509.9;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:39";="020000022";PHS;168.92;28;168.92;4751.76;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:39";="020000022";PHS;273.06;4;546.12;1136.24;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/24 09:38:53";="590781605";APC N;55;39;3125.85;2282.18;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:53";="590781605";ERI;0.01;1;0.01;0.01;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:53";="590781605";ERI;0.6;2;1.2;1.2;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:53";="590781605";ERI;0.87;1;0.87;0.87;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:53";="590781605";ERI;1.68;1;1.68;1.68;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:53";="590781605";ERI;7.28;1;7.28;7.28;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:53";="590781605";ERI;12.3;4;49.2;49.2;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:53";="590781605";ERI;14.25;1;14.25;14.25;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:53";="590781605";ERI;16.8;1;16.8;16.8;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:53";="590781605";ERI;22.23;1;22.23;22.23;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:53";="590781605";ERI;23.6;1;23.6;23.6;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:53";="590781605";ERI;32;1;32;32;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:53";="590781605";ERI;34.08;3;102.24;102.24;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:53";="590781605";ERI;36.12;1;36.12;36.12;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:53";="590781605";ERI;36.4;1;36.4;36.4;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:53";="590781605";ERI;48.16;1;48.16;48.16;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:53";="590781605";ERI;54.18;1;54.18;54.18;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:53";="590781605";ERI;57.86;1;57.86;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:53";="590781605";ERI;58.5;32;1872;1872;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:53";="590781605";ERI;60.2;1;60.2;60.2;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:53";="590781605";ERI;69.63;8;557.04;557.04;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:53";="590781605";ERI;84.28;1;84.28;84.28;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:53";="590781605";ERI;85.6;5;428;428;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:53";="590781605";ERI;90.72;30;2721.6;2721.6;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:53";="590781605";ERI;91.63;1;91.63;91.63;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:53";="590781605";ERI;96.32;1;96.32;96.32;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:53";="590781605";ERI;117;1;117;117;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:53";="590781605";ERI;120.4;1;120.4;120.4;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:53";="590781605";ERI;124.04;21;2604.84;2604.84;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:53";="590781605";ERI;126.45;35;4425.75;4425.75;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:53";="590781605";ERI;132.16;9;1189.44;1189.44;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:53";="590781605";ERI;214.43;1;214.43;214.43;2023.7;X590781605;24AUG23;9:38:44
