"champ";"statut";"annee";"periode";"date du resultat";"ipe";_NAME_;COL1;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/09 14:38:40";="600100168";nb;25111;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:40";="600100168";pb_taux;1;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:40";="600100168";pb_br;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:40";="600100168";pb_remb;60;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:40";="600100168";nb_ok;25050;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/10 13:22:49";="590780227";nb;127449;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:49";="590780227";pb_taux;6;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:49";="590780227";pb_br;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:49";="590780227";pb_remb;384;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:49";="590780227";nb_ok;127059;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/18 15:14:39";="020000022";nb;8778;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:39";="020000022";pb_taux;0;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:39";="020000022";pb_br;0;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:39";="020000022";pb_remb;31;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:39";="020000022";nb_ok;8747;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/21 15:04:22";="600100572";nb;25503;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/21 15:04:22";="600100572";pb_taux;1;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/21 15:04:22";="600100572";pb_br;0;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/21 15:04:22";="600100572";pb_remb;21;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/21 15:04:22";="600100572";nb_ok;25481;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/22 17:50:48";="590782439";nb;22743;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/22 17:50:48";="590782439";pb_taux;0;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/22 17:50:48";="590782439";pb_br;0;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/22 17:50:48";="590782439";pb_remb;595;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/22 17:50:48";="590782439";nb_ok;22148;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/24 09:38:54";="590781605";nb;123993;2023.7;X590781605;24AUG23;9:38:44
