"champ";"statut";"annee";"periode";"date du resultat";"ipe";code1;cpt;nb;mnt_remb;pct_fides;pct_mqt;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";AUTRES;8;10587;3636.978;99.33881175;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/10 13:22:57";="590780227";AUTRES;8;57801;0;100;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/18 15:14:47";="020000022";AUTRES;8;4937;0;100;0;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/21 15:04:28";="600100572";AUTRES;8;12550;0;100;0;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/22 17:50:54";="590782439";AUTRES;8;8639;0;100;0;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/24 09:39:01";="590781605";AUTRES;8;49359;19.928;99.995948054;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 12:29:52";="020000253";AUTRES;8;34300;0;100;0;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/25 10:04:34";="620003376";AUTRES;8;46205;1604.4;99.939400498;0;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/25 11:33:19";="600100648";AUTRES;8;24941;379.73;99.94787699;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 12:07:08";="620101337";AUTRES;8;79899;2679.726;99.958697856;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 14:11:49";="020000287";AUTRES;8;22381;0;100;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:48:13";="800000077";AUTRES;8;4221;0;100;0;2023.7;X800000077;25AUG23;14:48:03
"mco";"dgf";"2023";"7";"2023/08/25 15:06:53";="590785374";AUTRES;8;7888;0;100;0;2023.7;X590785374;25AUG23;15:06:41
"mco";"dgf";"2023";"7";"2023/08/28 12:09:53";="590782645";AUTRES;8;4961;0;100;0;2023.7;X590782645;28AUG23;12:09:43
"mco";"dgf";"2023";"7";"2023/08/28 12:52:25";="590782421";AUTRES;8;116916;699.594;99.994012796;0;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 14:31:16";="020000063";AUTRES;8;106046;749.104;99.991513117;0;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 15:42:21";="020004495";AUTRES;8;10189;0;100;0;2023.7;X020004495;28AUG23;15:42:08
"mco";"dgf";"2023";"7";"2023/08/28 17:55:45";="800000051";AUTRES;8;4686;0;100;0;2023.7;X800000051;28AUG23;17:55:36
"mco";"dgf";"2023";"7";"2023/08/28 18:05:58";="800000036";AUTRES;8;2316;0;100;0;2023.7;X800000036;28AUG23;18:05:49
"mco";"dgf";"2023";"7";"2023/08/29 09:15:28";="020000055";AUTRES;8;815;0;100;0;2023.7;X020000055;29AUG23;9:15:15
"mco";"dgf";"2023";"7";"2023/08/29 09:49:36";="590782652";AUTRES;8;27899;0;100;0;2023.7;X590782652;29AUG23;9:49:22
"mco";"dgf";"2023";"7";"2023/08/29 11:59:25";="020000261";AUTRES;8;58881;741.6425;99.969429867;0;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 13:08:38";="620000026";FFM;2;47;0;89.361702128;0;2023.7;X620000026;29AUG23;13:08:26
"mco";"dgf";"2023";"7";"2023/08/29 13:08:38";="620000026";SE;3;231;0;85.714285714;0;2023.7;X620000026;29AUG23;13:08:26
"mco";"dgf";"2023";"7";"2023/08/29 13:08:38";="620000026";AUTRES;8;35514;0;100;0;2023.7;X620000026;29AUG23;13:08:26
"mco";"dgf";"2023";"7";"2023/08/29 13:23:12";="590065223";AUTRES;8;60087;0;100;0;2023.7;X590065223;29AUG23;13:22:52
"mco";"dgf";"2023";"7";"2023/08/29 14:03:40";="590000600";AUTRES;8;2265;0;100;0;2023.7;X590000600;29AUG23;14:03:29
"mco";"dgf";"2023";"7";"2023/08/29 14:32:44";="620003350";AUTRES;8;10863;19.728;99.99079444;0;2023.7;X620003350;29AUG23;14:32:33
"mco";"dgf";"2023";"7";"2023/08/29 14:46:29";="590781670";AUTRES;8;15335;0;100;0;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 15:41:19";="590001749";AUTRES;8;17461;142.96;99.988545902;0;2023.7;X590001749;29AUG23;15:40:58
"mco";"dgf";"2023";"7";"2023/08/29 15:58:17";="620025346";AUTRES;8;31572;0;100;0;2023.7;X620025346;29AUG23;15:57:59
"mco";"dgf";"2023";"7";"2023/08/29 16:28:12";="620100651";DIA;4;81;6451.975794;30.864197531;0;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:28:12";="620100651";AUTRES;8;60189;418.18;99.990031401;0;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/30 08:07:17";="600100713";AUTRES;8;87699;156.8232;99.998859736;0.0011402639;2023.7;X600100713;30AUG23;8:06:51
"mco";"dgf";"2023";"7";"2023/08/30 09:19:09";="590780284";AUTRES;8;36690;0;100;0;2023.7;X590780284;30AUG23;9:18:49
"mco";"dgf";"2023";"7";"2023/08/30 10:38:16";="590780052";AUTRES;8;10099;315.272;99.920784236;0;2023.7;X590780052;30AUG23;10:38:03
"mco";"dgf";"2023";"7";"2023/08/30 10:39:33";="590797353";AUTRES;8;74273;0;100;0;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 14:08:23";="620101360";AUTRES;8;47573;726.784;99.966367477;0;2023.7;X620101360;30AUG23;14:08:01
"mco";"dgf";"2023";"7";"2023/08/30 14:17:48";="590782165";AUTRES;8;44801;30.4;99.997767907;0;2023.7;X590782165;30AUG23;14:17:25
"mco";"dgf";"2023";"7";"2023/08/30 15:23:03";="590052056";AUTRES;8;17998;0;100;0;2023.7;X590052056;30AUG23;15:22:42
"mco";"dgf";"2023";"7";"2023/08/30 15:54:25";="620100685";AUTRES;8;118896;235.478427;99.996635715;0.0008410712;2023.7;X620100685;30AUG23;15:53:57
"mco";"dgf";"2023";"7";"2023/08/30 16:30:26";="620103440";AUTRES;8;147670;74.088;99.997968443;0;2023.7;X620103440;30AUG23;16:29:46
"mco";"dgf";"2023";"7";"2023/08/30 17:55:30";="600100721";AUTRES;8;86687;187.926795;99.998846424;0;2023.7;X600100721;30AUG23;17:55:00
"mco";"dgf";"2023";"7";"2023/08/30 21:29:35";="590000188";AUTRES;8;45716;106.9845;99.997812582;0;2023.7;X590000188;30AUG23;21:29:16
"mco";"dgf";"2023";"7";"2023/08/31 09:35:27";="590783239";AUTRES;8;68179;486.216;99.972132181;0;2023.7;X590783239;31AUG23;9:35:03
"mco";"dgf";"2023";"7";"2023/08/31 09:47:44";="590782215";AUTRES;8;178221;434.912;99.994388989;0;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 10:47:51";="020000071";AUTRES;8;950;0;100;0;2023.7;X020000071;31AUG23;10:47:41
"mco";"dgf";"2023";"7";"2023/08/31 10:50:17";="590781415";AUTRES;8;97672;856.3396;99.982594807;0;2023.7;X590781415;31AUG23;10:49:44
"mco";"dgf";"2023";"7";"2023/08/31 11:34:09";="620100677";AUTRES;8;2580;0;100;0;2023.7;X620100677;31AUG23;11:33:55
"mco";"dgf";"2023";"7";"2023/08/31 11:54:16";="590781621";AUTRES;8;8169;0;100;0;2023.7;X590781621;31AUG23;11:54:00
"mco";"dgf";"2023";"7";"2023/08/31 12:34:18";="020004404";AUTRES;8;53367;2336.5055;99.885697154;0;2023.7;X020004404;31AUG23;12:33:56
"mco";"dgf";"2023";"7";"2023/08/31 14:16:55";="590781795";AUTRES;8;6671;24.479;99.985009744;0;2023.7;X590781795;31AUG23;14:16:44
"mco";"dgf";"2023";"7";"2023/08/31 14:29:36";="590781811";AUTRES;8;549;0;100;0;2023.7;X590781811;31AUG23;14:29:25
"mco";"dgf";"2023";"7";"2023/08/31 14:50:11";="800000093";AUTRES;8;16776;48.016;99.994039103;0;2023.7;X800000093;31AUG23;14:49:52
"mco";"dgf";"2023";"7";"2023/08/31 18:57:47";="800000069";AUTRES;8;14448;0;100;0;2023.7;X800000069;31AUG23;18:57:32
"mco";"dgf";"2023";"7";"2023/09/01 10:58:32";="800000085";AUTRES;8;21396;11783.358;99.00448682;0;2023.7;X800000085;01SEP23;10:58:10
"mco";"dgf";"2023";"7";"2023/09/01 13:04:31";="590782637";AUTRES;8;48513;0;100;0;2023.7;X590782637;01SEP23;13:04:07
"mco";"dgf";"2023";"7";"2023/09/01 13:09:24";="620100057";AUTRES;8;57910;498.676;99.987912278;0;2023.7;X620100057;01SEP23;13:09:00
"mco";"dgf";"2023";"7";"2023/09/01 15:20:23";="800000028";AUTRES;8;46030;3482.2;99.834890289;0;2023.7;X800000028;01SEP23;15:19:59
"mco";"dgf";"2023";"7";"2023/09/01 17:22:49";="600101984";AUTRES;8;73142;56.992;99.998632796;0;2023.7;X600101984;01SEP23;17:22:22
"mco";"dgf";"2023";"7";"2023/09/04 11:00:25";="800000044";AUTRES;8;267323;266.35;99.997007366;0;2023.7;X800000044;04SEP23;10:59:15
"mco";"dgf";"2023";"7";"2023/09/04 16:03:06";="620103432";AUTRES;8;41800;51.424;99.995215311;0;2023.7;X620103432;04SEP23;16:02:33
"mco";"dgf";"2023";"7";"2023/09/05 10:30:04";="590781803";AUTRES;8;39333;325.072805;99.989830422;0.0050847889;2023.7;X590781803;05SEP23;10:29:44
"mco";"dgf";"2023";"7";"2023/09/05 14:40:30";="590780193";AUTRES;8;445345;17043.795427;99.948579191;0;2023.7;X590780193;05SEP23;14:38:10
"mco";"dgf";"2023";"7";"2023/09/07 20:07:03";="590781902";AUTRES;8;63737;48.8;99.996862105;0;2023.7;X590781902;07SEP23;20:06:41
