"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;finessgeo;nbatu;mnt_br;mnt_remb;nb_fides;mnt_br_fides;mnt_remb_fides;rs_geo;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";ATU;590000121;1317;37062.196143;29880.458898;0;0;0;CH SECLIN;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/24 09:38:58";="590781605";ATU;590000428;996;27964.010388;24319.77774;0;0;0;CH CAMBRAI;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 12:29:49";="020000253";ATU;020000394;733;20413.458227;16787.137502;0;0;0;CH LAON;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/25 12:07:03";="620101337";ATU;620000323;1340;37582.883212;30556.242935;0;0;0;CH CALAIS;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 14:11:47";="020000287";ATU;020000535;1506;42301.283622;36551.941619;0;0;0;CH CHAUNY;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/28 12:52:21";="590782421";ATU;590801106;2673;74859.716175;61812.815612;0;0;0;HÔPITAL VICTOR PROVO;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 14:31:12";="020000063";ATU;020000162;647;18187.857289;15113.089133;0;0;0;CH SAINT-QUENTIN;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/29 09:49:33";="590782652";ATU;590000774;906;25439.389194;21063.749103;0;0;0;CH HAZEBROUCK;2023.7;X590782652;29AUG23;9:49:22
"mco";"dgf";"2023";"7";"2023/08/29 11:59:21";="020000261";ATU;020000519;1443;40528.275585;33708.171509;0;0;0;CH SOISSONS;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 16:28:07";="620100651";ATU;620000224;1413;39728.183811;33179.933497;0;0;0;CH BETHUNE;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/30 08:07:13";="600100713";ATU;600000194;4736;132991.5107;118433.29102;0;0;0;CH BEAUVAIS;2023.7;X600100713;30AUG23;8:06:51
"mco";"dgf";"2023";"7";"2023/08/30 10:39:28";="590797353";ATU;590797353;4347;119263.94727;103091.34224;0;0;0;GCS GHICL HÔPITAL SAINT VINCENT;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 14:08:19";="620101360";ATU;620000349;1411;39418.060265;32400.635248;0;0;0;CH REGION DE ST OMER;2023.7;X620101360;30AUG23;14:08:01
"mco";"dgf";"2023";"7";"2023/08/30 14:17:44";="590782165";ATU;590000592;1005;28245.634575;23096.917057;0;0;0;CH DENAIN;2023.7;X590782165;30AUG23;14:17:25
"mco";"dgf";"2023";"7";"2023/08/30 15:54:20";="620100685";ATU;620000257;3740;104956.44552;86983.417133;0;0;0;CH LENS;2023.7;X620100685;30AUG23;15:53:57
"mco";"dgf";"2023";"7";"2023/08/30 16:30:21";="620103440";ATU;620000653;1238;34762.206298;29456.541918;0;0;0;CH BOULOGNE-SUR-MER;2023.7;X620103440;30AUG23;16:29:46
"mco";"dgf";"2023";"7";"2023/08/30 17:55:25";="600100721";ATU;600113476;3075;86032.143825;76198.925931;0;0;0;CH CHICN COMPIÈGNE;2023.7;X600100721;30AUG23;17:55:00
"mco";"dgf";"2023";"7";"2023/08/31 09:35:23";="590783239";ATU;590001004;117;3240.706959;2708.9897334;0;0;0;CH DOUAI DECHY;2023.7;X590783239;31AUG23;9:35:03
"mco";"dgf";"2023";"7";"2023/08/31 09:47:39";="590782215";ATU;590000618;1887;52560.001449;43009.148288;0;0;0;CH VALENCIENNES;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 10:50:13";="590781415";ATU;590000337;1641;46165.931583;37373.721376;0;0;0;CH DUNKERQUE;2023.7;X590781415;31AUG23;10:49:44
"mco";"dgf";"2023";"7";"2023/08/31 11:54:12";="590781621";ATU;590000436;4;113.981756;91.1854048;0;0;0;CH LE CATEAU;2023.7;X590781621;31AUG23;11:54:00
"mco";"dgf";"2023";"7";"2023/08/31 12:34:14";="020004404";ATU;020001061;735;20639.204217;17105.696648;0;0;0;CH CHÂTEAU-THIERRY;2023.7;X020004404;31AUG23;12:33:56
"mco";"dgf";"2023";"7";"2023/08/31 14:50:07";="800000093";ATU;800000432;274;7684.884722;6278.3946738;0;0;0;CH PÉRONNE;2023.7;X800000093;31AUG23;14:49:52
"mco";"dgf";"2023";"7";"2023/09/01 13:04:27";="590782637";ATU;590000758;568;16007.772392;12913.316335;0;0;0;CH ARMENTIERES;2023.7;X590782637;01SEP23;13:04:07
"mco";"dgf";"2023";"7";"2023/09/01 13:09:20";="620100057";ATU;620000034;1151;32069.938753;26393.13145;0;0;0;CH ARRAS;2023.7;X620100057;01SEP23;13:09:00
"mco";"dgf";"2023";"7";"2023/09/01 15:20:19";="800000028";ATU;800000143;938;26292.030922;21610.564687;0;0;0;CH ABBEVILLE;2023.7;X800000028;01SEP23;15:19:59
"mco";"dgf";"2023";"7";"2023/09/01 17:22:45";="600101984";ATU;600000053;3373;94852.413023;80794.987214;0;0;0;CH GHPSO SENLIS;2023.7;X600101984;01SEP23;17:22:22
"mco";"dgf";"2023";"7";"2023/09/04 11:00:19";="800000044";ATU;800006124;3347;93954.618961;79542.51802;0;0;0;CHU AMIENS SUD;2023.7;X800000044;04SEP23;10:59:15
"mco";"dgf";"2023";"7";"2023/09/04 16:03:00";="620103432";ATU;620003202;281;7902.116491;6511.9094388;0;0;0;CH ARRONDISSEMENT DE MONTREUIL;2023.7;X620103432;04SEP23;16:02:33
"mco";"dgf";"2023";"7";"2023/09/05 10:30:00";="590781803";ATU;590000535;1445;40628.195395;32964.589365;0;0;0;CH DE MAUBEUGE MCO;2023.7;X590781803;05SEP23;10:29:44
"mco";"dgf";"2023";"7";"2023/09/05 14:40:18";="590780193";ATU;590006607;5859;164546.31598;134314.447;0;0;0;HÔPITAL JEANNE DE FLANDRE CHU LILLE;2023.7;X590780193;05SEP23;14:38:10
"mco";"dgf";"2023";"7";"2023/09/07 20:06:59";="590781902";ATU;590804696;2081;58502.602855;47804.97351;0;0;0;CH DE TOURCOING;2023.7;X590781902;07SEP23;20:06:41
