"champ";"statut";"annee";"periode";"date du resultat";"ipe";mois;nbatu;mnt_br;mnt_remb;nb_gyn;mnt_br_gyn;mnt_remb_gyn;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";1;167;4511.526877;3641.6396588;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";2;148;3998.239388;3220.2036152;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";3;228;6496.960092;5237.4616882;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";4;162;4616.261118;3704.40707;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";5;192;5471.124288;4411.0939572;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";6;198;5642.096922;4553.5711522;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";7;222;6325.987458;5112.0817566;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/24 09:38:58";="590781605";1;149;4025.254519;3495.7579514;0;0;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:58";="590781605";2;133;3593.012423;3128.3521698;0;0;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:58";="590781605";3;130;3704.40707;3214.2855192;0;0;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:58";="590781605";4;146;4160.334094;3607.5225774;0;0;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:58";="590781605";5;146;4160.334094;3618.920753;0;0;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:58";="590781605";6;170;4844.22463;4171.7322696;0;0;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:58";="590781605";7;122;3476.443558;3083.2064998;0;0;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 12:29:49";="020000253";1;157;4241.375567;3501.1609776;0;0;0;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:49";="020000253";2;163;4403.466353;3614.6245278;0;0;0;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:49";="020000253";3;159;4530.774801;3710.1061578;0;0;0;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:49";="020000253";4;128;3647.416192;3014.8174462;0;0;0;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:49";="020000253";5;126;3590.425314;2946.4283926;0;0;0;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/25 12:07:03";="620101337";1;200;5403.0262;4381.8542482;0;0;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:03";="620101337";2;206;5565.116986;4552.0495735;0;0;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:03";="620101337";3;202;5756.078678;4667.5529082;0;0;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:03";="620101337";4;193;5499.619727;4479.4830108;0;0;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:03";="620101337";5;153;4359.802167;3522.0362604;0;0;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:03";="620101337";6;203;5784.574117;4704.5969789;0;0;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:03";="620101337";7;183;5214.665337;4248.6699549;0;0;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 14:11:47";="020000287";1;226;6105.419606;5343.5929118;0;0;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:47";="020000287";2;188;5078.844628;4365.6451696;0;0;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:47";="020000287";3;221;6297.492019;5465.4252002;0;0;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:47";="020000287";4;208;5927.051312;5043.692703;0;0;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:47";="020000287";5;199;5670.592361;4946.8082104;0;0;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:47";="020000287";6;209;5955.546751;5163.3735468;0;0;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:47";="020000287";7;255;7266.336945;6223.4038776;0;0;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/28 12:52:21";="590782421";1;476;12859.202356;10681.782797;0;0;0;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:21";="590782421";2;408;11022.173448;9147.3233566;0;0;0;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:21";="590782421";3;233;6639.437287;5499.619727;0;0;0;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:21";="590782421";4;321;9147.035919;7608.282213;0;0;0;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:21";="590782421";5;456;12993.920184;10601.682487;0;0;0;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:21";="590782421";6;400;11398.1756;9369.3003432;0;0;0;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:21";="590782421";7;379;10799.771381;8904.8246875;0;0;0;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 14:31:12";="020000063";1;125;3376.891375;2809.573624;0;0;0;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:12";="020000063";2;43;1161.650633;950.9326112;0;0;0;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:12";="020000063";3;40;1139.81756;951.7476626;0;0;0;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:12";="020000063";4;65;1852.203535;1555.8509694;0;0;0;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:12";="020000063";5;136;3875.379704;3185.7900802;0;0;0;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:12";="020000063";6;124;3533.434436;2946.4283926;0;0;0;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:12";="020000063";7;114;3248.480046;2712.7657928;0;0;0;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/29 09:49:33";="590782652";1;125;3376.891375;2793.3645454;0;0;0;2023.7;X590782652;29AUG23;9:49:22
"mco";"dgf";"2023";"7";"2023/08/29 09:49:33";="590782652";2;130;3511.96703;2928.4402004;0;0;0;2023.7;X590782652;29AUG23;9:49:22
"mco";"dgf";"2023";"7";"2023/08/29 09:49:33";="590782652";3;134;3818.388826;3117.4010266;0;0;0;2023.7;X590782652;29AUG23;9:49:22
