"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;mois;PU;nbald;mnt_br;mnt_remb;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/29 16:28:08";="620100651";D15;2;771.79;1;767.390797;767.390797;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:28:08";="620100651";D15;3;825.29;1;821.411137;821.411137;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:28:08";="620100651";D15;5;825.29;2;1642.822274;1642.822274;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:28:08";="620100651";D15;6;825.29;2;1642.822274;1642.822274;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:28:08";="620100651";D16;1;600.91;9;5377.363317;5377.363317;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:28:08";="620100651";D16;2;600.91;8;4779.878504;4779.878504;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:28:08";="620100651";D16;3;642.56;7;4476.779776;4476.779776;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:28:08";="620100651";D16;4;642.56;8;5116.319744;5116.319744;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:28:08";="620100651";D16;5;642.56;4;2558.159872;2558.159872;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:28:08";="620100651";D16;6;642.56;8;5116.319744;5116.319744;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:28:08";="620100651";D16;7;642.56;5;3197.69984;3197.69984;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:28:08";="620100651";D22;1;311.56;1;309.784108;309.784108;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:28:08";="620100651";D23;1;244.42;1;243.026806;243.026806;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:28:08";="620100651";D23;2;244.42;2;486.053612;486.053612;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:28:08";="620100651";D23;3;261.36;5;1300.65804;1300.65804;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:28:08";="620100651";D23;4;261.36;4;1040.526432;1040.526432;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:28:08";="620100651";D23;5;261.36;4;1040.526432;1040.526432;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:28:08";="620100651";D23;6;261.36;6;1560.789648;1560.789648;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:28:08";="620100651";D23;7;261.36;3;780.394824;780.394824;2023.7;X620100651;29AUG23;16:27:45
