"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;mois;PU;nbape;mnt_br;mnt_remb;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/29 11:59:23";="020000261";APE;6;14.27;1;14.202931;11.3623448;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:23";="020000261";APE;7;14.27;2;28.405862;25.5652758;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/30 15:54:23";="620100685";APE;2;13.54;2;26.925644;24.2330796;2023.7;X620100685;30AUG23;15:53:57
"mco";"dgf";"2023";"7";"2023/09/05 14:40:24";="590780193";APE;1;13.54;10;134.62822;121.165398;2023.7;X590780193;05SEP23;14:38:10
"mco";"dgf";"2023";"7";"2023/09/05 14:40:24";="590780193";APE;2;13.54;21;282.719262;253.1010536;2023.7;X590780193;05SEP23;14:38:10
"mco";"dgf";"2023";"7";"2023/09/05 14:40:24";="590780193";APE;3;14.27;37;525.508447;497.102585;2023.7;X590780193;05SEP23;14:38:10
"mco";"dgf";"2023";"7";"2023/09/05 14:40:24";="590780193";APE;4;14.27;27;383.479137;366.4356198;2023.7;X590780193;05SEP23;14:38:10
"mco";"dgf";"2023";"7";"2023/09/05 14:40:24";="590780193";APE;5;14.27;25;355.073275;326.667413;2023.7;X590780193;05SEP23;14:38:10
"mco";"dgf";"2023";"7";"2023/09/05 14:40:24";="590780193";APE;6;14.27;35;497.102585;460.1749644;2023.7;X590780193;05SEP23;14:38:10
"mco";"dgf";"2023";"7";"2023/09/05 14:40:24";="590780193";APE;7;14.27;24;340.870344;326.667413;2023.7;X590780193;05SEP23;14:38:10
