"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;pu;nb;mnt_br;mnt_remb;nb_fides;mnt_br_fides;mnt_remb_fides;spec_fx;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/09 14:38:45";="600100168";AMI;3.15;1809.5;5699.925;5127.255;1809.5;5699.925;5127.255;11;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:45";="600100168";APC;50;3637;181850;147260;3637;181850;147260;1;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:45";="600100168";B;0.27;198;53.46;37.422;198;53.46;37.422;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:45";="600100168";CS;23;5009;115207;90026.6;5009;115207;90026.6;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:45";="600100168";CS  F;19.06;3;57.18;45.744;3;57.18;45.744;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:45";="600100168";CSC;47.73;363;17325.99;14586.288;363;17325.99;14586.288;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:45";="600100168";G;25;127;3175;2830;127;3175;2830;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:45";="600100168";GS;25;482;12050;9972.5;482;12050;9972.5;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:45";="600100168";MCC;3.27;362;1183.74;997.023;362;1183.74;997.023;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:45";="600100168";MCG;5;619;3095;2604.75;619;3095;2604.75;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:45";="600100168";MCS;5;5015;25075;19598;5015;25075;19598;6;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:45";="600100168";MOP;5;1071;5355;5355;1071;5355;5355;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:45";="600100168";MPC;2;5022;10044;7850.8;5022;10044;7850.8;6;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:45";="600100168";TC;23;27;621;524.4;27;621;524.4;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:45";="600100168";TCG;25;10;250;221.25;10;250;221.25;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:45";="600100168";TMF;-24;142;-3408;-3408;43;-1032;-1032;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/10 13:22:56";="590780227";AMI;3.15;5943.25;18721.2375;14851.1475;5943.25;18721.2375;14851.1475;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:56";="590780227";AMI F;3.15;59.5;578.53;375.714;59.5;578.53;375.714;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:56";="590780227";AMI N;3.15;62;698.7;515.24;62;698.7;515.24;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:56";="590780227";APC;55;11822;650210;501165.401;11822;650210;501165.401;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:56";="590780227";APU;69;38;2622;2259.75;38;2622;2259.75;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:56";="590780227";APY;62.5;88;5500;4206.21875;88;5500;4206.21875;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:56";="590780227";B;0.26;1024058;266255.08;215509.294;790607;205557.82;165323.574;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:56";="590780227";B;0.27;194058;52395.66;42211.9485;160469;43326.63;34849.5345;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:56";="590780227";C;23;2620;60260;54298.4;2610;60030;54109.8;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:56";="590780227";CCE;60;5;300;228;5;300;228;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:56";="590780227";CCP;46;27;1242;1242;27;1242;1242;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:56";="590780227";CCX;46;140;6440;4756.4;140;6440;4756.4;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:56";="590780227";CNP;42.5;18;765;624.75;18;765;624.75;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:56";="590780227";COE;46;24;1104;1104;24;1104;1104;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:56";="590780227";CS;23;16637;382651;300758.35;16416;377568;296641.35;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:56";="590780227";CS  F;23;111;4668.66;3760.164;78;3280.68;2649.78;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:56";="590780227";CS  N;23;191;9196.65;7439.175;138;6644.7;5387.985;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:56";="590780227";CSC;47.73;618;29497.14;25206.213;618;29497.14;25206.213;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:56";="590780227";FDA;253.25;1;253.25;253.25;1;253.25;253.25;1;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:56";="590780227";FDA;317.25;1;317.25;317.25;1;317.25;317.25;1;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:56";="590780227";FSD;40;337;13480;10064;337;13480;10064;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:56";="590780227";G;25;475;11875;9004.1925;468;11700;8854.1925;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:56";="590780227";G   F;25;1;44.06;44.06;0;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:56";="590780227";GS;25;737;18425;14076.25;704;17600;13411.25;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:56";="590780227";GS  F;25;8;352.48;281.984;3;132.18;105.744;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:56";="590780227";GS  N;25;2;120;108;1;60;60;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:56";="590780227";MCG;5;559;2795;2161.25;559;2795;2161.25;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:56";="590780227";MCS;5;8756;43780;34111.5;8756;43780;34111.5;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:56";="590780227";MM;18.3;11;201.3;157.38;11;201.3;157.38;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:56";="590780227";MM;40;2;80;60;1;40;28;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:56";="590780227";MOP;5;2597;12985;12985;2593;12965;12965;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:56";="590780227";MPC;2;16991;33982;26732.3;16683;33366;26234.7;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:56";="590780227";MPC;2.7;18;48.6;39.69;18;48.6;39.69;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:56";="590780227";MSF;2;2225;4450;4138.6;2215;4430;4122.2;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:56";="590780227";PAI;10;472;4720;4536;472;4720;4536;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:56";="590780227";PAI;32.7;125.84;4114.968;3925.0464;125.84;4114.968;3925.0464;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:56";="590780227";SF;2.8;33596.5;94070.2;93695.35;33377.75;93457.7;93103.85;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:56";="590780227";SFI;2.18;786.25;1714.025;1690.808;786.25;1714.025;1690.808;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:56";="590780227";TC;23;51;1173;1028.1;51;1173;1028.1;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:56";="590780227";TCG;25;8;200;142.5;7;175;122.5;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:56";="590780227";TE2;20;103;2060;2060;103;2060;2060;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:56";="590780227";TMF;-24;625;-15000;-15000;573;-13752;-13752;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:56";="590780227";TSM;110;12;1320;1320;12;1320;1320;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:56";="590780227";VDE;500;13;6500;6500;13;6500;6500;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/18 15:14:46";="020000022";AMI;3.15;167;526.05;435.33;167;526.05;435.33;0;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:46";="020000022";APC;55;1361;74855;64149.25;1361;74855;64149.25;0;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:46";="020000022";APY;62.5;17;1062.5;987.5;17;1062.5;987.5;0;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:46";="020000022";C;23;372;8556;6845.95;372;8556;6845.95;0;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:46";="020000022";CCP;46;1;46;46;1;46;46;0;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:46";="020000022";CNP;42.5;16;680;641.75;16;680;641.75;0;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:46";="020000022";CS;23;1240;28520;22779.2;1240;28520;22779.2;0;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:46";="020000022";CSC;47.73;6;286.38;214.785;6;286.38;214.785;0;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:46";="020000022";G;25;8;200;162.5;8;200;162.5;0;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:46";="020000022";MCC;3.27;6;19.62;14.715;6;19.62;14.715;0;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:46";="020000022";MCG;5;6;30;25.5;6;30;25.5;0;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:46";="020000022";MCS;4;16;64;60.4;16;64;60.4;0;2023.7;X020000022;18AUG23;15:14:32
