"champ";"statut";"annee";"periode";"date du resultat";"ipe";_NAME_;COL1;COL2;COL3;COL4;col5;type;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/09/05 14:09:34";="590780193";mnt_ghs;429682574.44;411137883.26;429691751.91;411146582.72;8699.4610605;1;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:34";="590780193";mnt_sejc;-1149396.375;-1121114.552;-1149396.375;-1121114.552;4.656613E-10;1;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:34";="590780193";mnt_ghs50;-780.803727;-778.070914;-455.2360385;-453.6427124;324.42820159;1;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:34";="590780193";mnt_exh;6124279.5538;6022748.5046;6124279.5538;6022748.5046;1.4901161E-8;1;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:34";="590780193";mnt_9615;671611.16064;660152.73692;678334.13917;666852.18502;6699.4481002;1;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:34";="590780193";mnt_rap;0;0;0;0;0;1;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:34";="590780193";mnt_ant;454102.27216;452352.69619;454102.27216;452352.69619;0;1;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:34";="590780193";mnt_rdth;0;0;0;0;0;1;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:34";="590780193";mnt_jrea;28478892.183;27906948.907;28478892.183;27906948.907;-2.30968E-7;1;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:34";="590780193";mnt_rep;3451047.3885;3268667.0166;3462200.4687;3279781.061;11114.044399;1;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:34";="590780193";mnt_nn1;3492316.237;3452809.4389;3492316.237;3452809.4389;4.656613E-10;1;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:34";="590780193";mnt_nn2;3806348.7105;3791033.7053;3806348.7105;3791033.7053;-4.190952E-9;1;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:34";="590780193";mnt_nn3;4743017.0604;4712086.439;4743017.0604;4712086.439;-5.587935E-9;1;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:34";="590780193";mnt_caisson;999414.52342;970924.95431;1193607.6067;1158400.5019;187475.54763;1;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:34";="590780193";mnt_suppdia;761979.10321;755840.53235;761979.10321;755840.53235;-1.280569E-9;1;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:34";="590780193";mnt_sdc;176737.84716;176119.2647;176737.84716;176119.2647;0;1;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:34";="590780193";mnt_sc;7876695.0151;7701394.3982;7876695.0151;7701394.3982;9.313226E-10;1;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:34";="590780193";mnt_si;18639520.237;18135953.823;18639520.237;18135953.823;1.7508864E-7;1;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:34";="590780193";mnt_supp_inno;0;0;0;0;0;1;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:34";="590780193";mnt_po;663793.28107;661470.00459;679272.74826;676895.29364;15425.289046;1;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:34";="590780193";mnt_tot;508872151.83;488684493.06;509109203.48;488914231.27;229738.21844;1;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:34";="590780193";ivg;447699.92;446705.008;447699.92;446705.008;-2.91038E-11;2;2023.7;X590780193;05SEP23;14:08:27
