"champ";"statut";"annee";"periode";"date du resultat";"ipe";code13;code;indication;code1;nba;nboka;montanta;nbb;nbokb;montantb;valo;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890000529;9000052;NTRAZ07;9000052;30;0;0;30;0;0;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890000529;9000052;NTRAZ08;9000052;105;105;44.887;105;105;44.887;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890000529;9000052;NXXXX00;9000052;60;60;25.649;60;60;25.649;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890002110;9000211;NOLIP01;9000211;113;113;310289.751;113;113;310289.751;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890002745;9000274;NTRAZ08;9000274;30;30;16.415;30;30;16.415;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890003230;9000323;COSIL01;9000323;280;280;7375.371;0;0;0;7375.371;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890003247;9000324;COSIL01;9000324;220;220;21511.508;0;0;0;21511.508;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890004879;9000487;NXXXX01;9000487;1;1;1062.77;1;1;1062.77;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890005258;9000525;CBULE01;9000525;30;0;0;30;0;0;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890005951;9000595;CONAS01;9000595;1;1;1978084.45;1;1;1978084.45;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890006897;9000689;NTEPR02;9000689;11;11;163558.788;11;11;163558.788;2.910383E-11;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890006897;9000689;NXXXX00;9000689;14;14;208165.73;14;14;208165.73;-2.91038E-11;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890007887;9000788;CACAL01;9000788;144;144;15596.875;144;144;15596.875;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890007887;9000788;CACAL02;9000788;72;12;1299.74;72;12;1299.74;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890007887;9000788;NXXXX00;9000788;28;28;3032.725;28;28;3032.725;0;2023.7;X590780193;05SEP23;14:08:27
