"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;code1;dep22a;nb22a;dep22_vala;dep22b;nb22b;dep22_valb;valo;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";3100156;3100156;12103.68;4;12164.22;12103.68;4;12164.22;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";3101316;3101316;16475.42;8;19257.71;16475.42;8;19257.71;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";3101820;3101820;18737.352;36;18703.8845;18737.352;36;18703.8845;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";3102043;3102043;1514.83;3;1553.915;1514.83;3;1553.915;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";3102066;3102066;6613.08;12;6794.94;6613.08;12;6794.94;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";3103031;3103031;7416.572;71;7453.536;7416.572;71;7453.536;9.094947E-13;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";3103663;3103663;85473.879;40;85886.5395;85473.879;40;85886.5395;1.455192E-11;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";3104177;3104177;1149.01;1;1154.755;1149.01;1;1154.755;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";3104792;3104792;365.22;2;367.05;365.22;2;367.05;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";3105863;3105863;783.41;1;787.33;783.41;1;787.33;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";3106130;3106130;34944.322;16;35111.761;34944.322;16;35111.761;0;2023.7;X590780193;05SEP23;14:08:27
