"champ";"statut";"annee";"periode";"date du resultat";"ipe";_NAME_;COL1;COL2;col3;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/09/05 14:09:40";="590780193";mnt_ghs;533337.47357;533337.47357;1.164153E-10;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:40";="590780193";mnt_sejc;-1757.706917;-1757.706917;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:40";="590780193";mnt_ghs50;0;0;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:40";="590780193";mnt_exh;5218.1246184;5218.1246184;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:40";="590780193";mnt_9615;0;0;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:40";="590780193";mnt_rap;0;0;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:40";="590780193";mnt_ant;964.6844616;964.6844616;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:40";="590780193";mnt_rdth;0;0;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:40";="590780193";mnt_jrea;179156.52544;179156.52544;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:40";="590780193";mnt_rep;20676.192013;20676.192013;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:40";="590780193";mnt_nn1;3175.7504832;3175.7504832;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:40";="590780193";mnt_nn2;0;0;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:40";="590780193";mnt_nn3;0;0;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:40";="590780193";mnt_caisson;969.4506496;969.4506496;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:40";="590780193";mnt_suppdia;9424.2836624;9424.2836624;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:40";="590780193";mnt_sdc;0;0;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:40";="590780193";mnt_sc;1432.980456;1432.980456;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:40";="590780193";mnt_si;39681.073211;39681.073211;1.455192E-11;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:40";="590780193";mnt_tot;792278.83165;792278.83165;-1.16415E-10;2023.7;X590780193;05SEP23;14:08:27
