"champ";"statut";"annee";"periode";"date du resultat";"ipe";mois_nuit1;nb_nuit_pat;nb_nuit_acc;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/11 09:08:48";="590780193";01;86;23;2023.7;X590780193;11AUG23;9:08:47
"mco";"dgf";"2023";"7";"2023/08/11 09:08:48";="590780193";02;138;52;2023.7;X590780193;11AUG23;9:08:47
"mco";"dgf";"2023";"7";"2023/08/11 09:08:48";="590780193";03;108;22;2023.7;X590780193;11AUG23;9:08:47
"mco";"dgf";"2023";"7";"2023/08/11 09:08:48";="590780193";04;58;13;2023.7;X590780193;11AUG23;9:08:47
"mco";"dgf";"2023";"7";"2023/08/11 09:08:48";="590780193";05;72;19;2023.7;X590780193;11AUG23;9:08:47
"mco";"dgf";"2023";"7";"2023/08/11 09:08:48";="590780193";06;173;50;2023.7;X590780193;11AUG23;9:08:47
"mco";"dgf";"2023";"7";"2023/08/11 09:08:48";="590780193";07;116;41;2023.7;X590780193;11AUG23;9:08:47
"mco";"dgf";"2023";"7";"2023/08/25 09:39:18";="620000026";01;34;2;2023.7;X620000026;25AUG23;9:39:17
"mco";"dgf";"2023";"7";"2023/08/25 09:39:18";="620000026";02;19;0;2023.7;X620000026;25AUG23;9:39:17
"mco";"dgf";"2023";"7";"2023/08/25 09:39:18";="620000026";03;74;1;2023.7;X620000026;25AUG23;9:39:17
"mco";"dgf";"2023";"7";"2023/08/25 09:39:18";="620000026";04;36;1;2023.7;X620000026;25AUG23;9:39:17
"mco";"dgf";"2023";"7";"2023/08/25 09:39:18";="620000026";05;22;4;2023.7;X620000026;25AUG23;9:39:17
"mco";"dgf";"2023";"7";"2023/08/25 09:39:18";="620000026";06;70;1;2023.7;X620000026;25AUG23;9:39:17
"mco";"dgf";"2023";"7";"2023/08/25 09:39:18";="620000026";07;90;4;2023.7;X620000026;25AUG23;9:39:17
"mco";"dgf";"2023";"7";"2023/09/01 12:02:23";="590000188";01;16;8;2023.7;X590000188;01SEP23;12:02:21
"mco";"dgf";"2023";"7";"2023/09/01 12:02:23";="590000188";02;29;22;2023.7;X590000188;01SEP23;12:02:21
"mco";"dgf";"2023";"7";"2023/09/01 12:02:23";="590000188";03;24;9;2023.7;X590000188;01SEP23;12:02:21
"mco";"dgf";"2023";"7";"2023/09/01 12:02:23";="590000188";04;76;4;2023.7;X590000188;01SEP23;12:02:21
"mco";"dgf";"2023";"7";"2023/09/01 12:02:23";="590000188";05;13;8;2023.7;X590000188;01SEP23;12:02:21
"mco";"dgf";"2023";"7";"2023/09/01 12:02:23";="590000188";06;15;7;2023.7;X590000188;01SEP23;12:02:21
"mco";"dgf";"2023";"7";"2023/09/01 12:02:23";="590000188";07;27;17;2023.7;X590000188;01SEP23;12:02:21
