"champ";"statut";"annee";"periode";"date du resultat";"ipe";ghm;dstot0;dstot1;dstot2;dstots2;duree;pct0;pct1;pct2;pcts2;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/11 08:31:00";="600100168";07C131;2;10;3;0;15;13.333333333;66.666666667;20;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:00";="600100168";09C211;3;0;1;0;4;75;0;25;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:00";="600100168";12C051;3;0;0;0;3;100;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/24 14:38:12";="020000253";11C031;1;0;1;2;4;25;0;25;50;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:12";="020000253";12C051;1;1;0;0;2;50;50;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:12";="020000253";22C031;3;0;0;0;3;100;0;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/25 10:37:32";="620003376";06C041;1;3;3;26;33;3.0303030303;9.0909090909;9.0909090909;78.787878788;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:32";="620003376";06C071;3;8;6;13;30;10;26.666666667;20;43.333333333;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:32";="620003376";06C151;2;2;0;0;4;50;50;0;0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:32";="620003376";06C221;2;11;1;2;16;12.5;68.75;6.25;12.5;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:32";="620003376";07C101;1;0;1;0;2;50;0;50;0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:32";="620003376";07C121;1;2;0;4;7;14.285714286;28.571428571;0;57.142857143;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:32";="620003376";07C131;9;3;1;5;18;50;16.666666667;5.5555555556;27.777777778;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:32";="620003376";08C241;1;12;35;48;96;1.0416666667;12.5;36.458333333;50;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:32";="620003376";08C251;1;0;6;5;12;8.3333333333;0;50;41.666666667;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:32";="620003376";08C311;1;1;2;0;4;25;25;50;0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:32";="620003376";08C531;2;0;2;0;4;50;0;50;0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:32";="620003376";09C211;6;3;0;2;11;54.545454545;27.272727273;0;18.181818182;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:32";="620003376";10C051;1;1;0;0;2;50;50;0;0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:32";="620003376";10C101;1;0;0;0;1;100;0;0;0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:32";="620003376";12C051;4;0;0;0;4;100;0;0;0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:32";="620003376";12C101;3;0;0;0;3;100;0;0;0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:32";="620003376";13C031;27;5;0;1;33;81.818181818;15.151515152;0;3.0303030303;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:32";="620003376";13C051;6;0;0;0;6;100;0;0;0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:32";="620003376";13C141;2;3;0;1;6;33.333333333;50;0;16.666666667;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:32";="620003376";13C151;7;1;0;0;8;87.5;12.5;0;0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 12:05:37";="620101337";06C071;1;0;0;2;3;33.333333333;0;0;66.666666667;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:37";="620101337";06C091;1;13;13;5;32;3.125;40.625;40.625;15.625;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:37";="620101337";07C131;5;5;0;1;11;45.454545455;45.454545455;0;9.0909090909;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:37";="620101337";08C481;2;0;0;9;11;18.181818182;0;0;81.818181818;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:37";="620101337";09C211;2;5;13;1;21;9.5238095238;23.80952381;61.904761905;4.7619047619;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:37";="620101337";13C051;2;2;0;2;6;33.333333333;33.333333333;0;33.333333333;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/29 09:28:24";="590782652";08C531;1;0;0;1;2;50;0;0;50;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:23";="600100648";07C131;3;1;1;3;8;37.5;12.5;12.5;37.5;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:23";="600100648";08C311;1;0;0;0;1;100;0;0;0;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:23";="600100648";09C211;2;4;0;0;6;33.333333333;66.666666667;0;0;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:23";="600100648";09C271;2;0;0;0;2;100;0;0;0;2023.7;X600100648;29AUG23;10:19:13
