"champ";"statut";"annee";"periode";"date du resultat";"ipe";lib;aff;acte2;nb_occur;ponder;ponder_cn;dms;pct_rea;pct_si;pct_sc;age_moy;age_med;pct_homme;pct_dp;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/24 14:38:44";="020000253";ZBQK002 RX THOR.;0;ZBQK002;39;12;12;24.916666667;100;0;8.3333333333;71.75;72;66.666666667;33.333333333;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:44";="020000253";DEQP007 SCOPE/TÉLÉECG CONTINU +SURV. PRESS ART+/-SAO2 NON EFFRACTIVES/24H;0;DEQP007;223;10;10;23.4;100;0;0;69.3;72;70;40;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:44";="020000253";GLLD017 O2THÉR. +SURV. CONTINUE OXYMÉTRIE SF VENTIL/24H;0;GLLD017;83;9;9;27;100;0;0;68.666666667;72;55.555555556;22.222222222;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:44";="020000253";GLHF001 GDS (PRÉLÈV+MESURES+PH) SANS ÉPREUVE HYPEROXIE;0;GLHF001;85;9;9;23.555555556;100;0;0;73.444444444;72;66.666666667;44.444444444;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:44";="020000253";EPLF002 POSE 1CATHÉ CTR TRANSCUT.;0;EPLF002;10;8;8;21.875;100;0;0;72.125;72;87.5;50;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:44";="020000253";EQLF003 DOBU/DOPA CONTINUE DÉBIT >8µG/KG/MN /ADRÉNALINE/N.ADRÉN SF NÉONAT /24H;0;EQLF003;22;8;8;22.625;100;0;12.5;70.75;71.5;62.5;37.5;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:44";="020000253";EQLF002 PERF REMPLISSAGE DÉBIT >50ML/KG/24H CHEZ ADULTE;0;EQLF002;13;7;7;20.571428571;100;0;14.285714286;69;72;71.428571429;28.571428571;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:44";="020000253";HSLF002 ALIMT PARENTÉRALE 20-35CAL/KG/J/24H;0;HSLF002;29;6;6;28.666666667;100;0;0;73.333333333;72;66.666666667;16.666666667;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:44";="020000253";DZQM005 DOPPLER COEUR +DES VSSX INTRATHOR. AU LIT;0;DZQM005;7;5;5;19.8;100;0;0;69;71;100;80;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:44";="020000253";ZCQH001 SCAN. ABD. +PELVIS +INJECT IV;0;ZCQH001;7;5;5;27.8;100;0;20;61.8;61;60;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:44";="020000253";FELF011 TRANSFU. CG 1<1/2MASSE;0;FELF011;8;5;5;33.6;100;0;20;69.6;72;60;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:44";="020000253";GLLD003 VENTIL. SPONTANÉE MASQUE/CANULE SANS AIDE INSPIRATOIRE +PEP/24H;0;GLLD003;18;5;5;29;100;0;0;77.6;75;80;20;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:44";="020000253";GELD005 AÉROSOL THÉRAP. BR. +SPO2+SURV. FC > 2H;0;GELD005;309;5;5;27.2;100;0;0;76.2;75;60;40;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:44";="020000253";ZBQH001 SCAN. THOR. +INJECT IV;0;ZBQH001;4;4;4;29.75;100;0;25;69.25;66.5;75;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:44";="020000253";ZBQK001 SCAN. THOR. SANS INJ. IV PROD. CONTRASTE;0;ZBQK001;4;4;4;23.25;100;0;0;73.5;74;75;50;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:44";="020000253";ENLF001 POSE DISPOSITIF ART. SURV. PRESSION ART.;0;ENLF001;5;4;4;16.25;100;0;0;76.75;74;75;50;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:44";="020000253";ZCQK004 SCAN. ABD. +PELVIS SANS INJ. IV PROD. CONTRASTE;0;ZCQK004;3;3;3;27;100;0;0;77.333333333;76;66.666666667;33.333333333;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:44";="020000253";DEQP004 SCOPE/TÉLÉECG CONTINU/24H;0;DEQP004;6;3;3;25.333333333;100;0;0;72.666666667;72;33.333333333;33.333333333;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:44";="020000253";GLLD019 VENTIL. NON INVASIVE MASQUE CUMUL. 2H/12H PR INSUF. RESP. AIG.;0;GLLD019;7;3;3;29;100;0;0;73.666666667;75;66.666666667;66.666666667;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:44";="020000253";GLLD015 VENTIL. TRACH. +PEP < 6+FIO2 < 60%/24H;0;GLLD015;17;3;3;20;100;0;0;68;61;33.333333333;33.333333333;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:44";="020000253";GLLD012 VENTIL. CONTINUE AU MASQUE FACIAL PR SUPPLÉANCE VENTILATOIRE/24H;0;GLLD012;24;3;3;28.666666667;100;0;0;69;62;66.666666667;33.333333333;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:44";="020000253";GLLD008 VENTIL. TRACH. +PEP SUP. À 6+/- FIO2 SUP. À 60%/24H;0;GLLD008;28;3;3;17;100;0;0;69.333333333;71;100;66.666666667;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:44";="020000253";GEHD001 PRÉLÈV. DIST. PROTÉGÉ SUR SONDE INTUB/SUR TRACHÉO SANS FIBRO;0;GEHD001;2;2;2;19;100;0;0;82;82;50;50;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:44";="020000253";ZZQP004 RESTITUTION 3D DES IMAGES ACQUISES SCAN.;0;ZZQP004;2;2;2;24;100;0;0;68.5;68.5;100;100;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:44";="020000253";GEQE007 FIBRO BR.;0;GEQE007;3;2;2;25;100;0;0;68.5;68.5;100;50;2023.7;X020000253;24AUG23;14:38:01
